training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.004173354,-0.77963734,-9.804848,0.613335,1.0,0.0034657894,-21.197285,-23.381865,-23.73377,0.024039097,-0.019085284,0.50005424,-20.436993,-22.608324,-22.952848,0.000104870276,0.01117754635810852,55.88773584365845,5000
0.020451682,-0.61258006,-9.276699,0.48129758,1.0,0.0005130878,-38.621056,-39.923878,-40.085373,0.00633009,-0.022603288,0.38662416,-38.00921,-39.316406,-39.479374,1.2429663e-05,0.0013546054363250733,62.66077542304993,10000
0.071476355,-0.48266643,-8.855925,0.37610397,1.0,0.00057665556,-51.97088,-53.036434,-53.13208,0.013121526,-0.03902901,0.78611,-51.494446,-52.563377,-52.659817,2.4854697e-05,0.001354422903060913,69.4328966140747,15000
0.20990054,-0.37208936,-8.655371,0.32596558,1.0,0.00015120482,-62.846615,-63.43979,-63.48922,0.0027339202,-0.003612932,0.1174404,-62.46848,-63.06947,-63.1204,1.497905e-05,0.0013166983604431153,76.01639223098755,20000
0.48651153,-0.28682068,-8.508114,0.2891516,1.0,0.00043829498,-71.28165,-71.77058,-71.80456,0.024733365,-0.008782193,0.551726,-71.00741,-71.48484,-71.51912,3.0237385e-05,0.00133986177444458,82.71570587158203,25000
0.9439624,-0.22020811,-8.508545,0.28925908,1.0,0.00048022828,-78.29024,-78.60589,-78.63104,0.01822815,-0.009585274,0.4999523,-78.03725,-78.38977,-78.41519,4.790377e-05,0.0013427486896514893,89.42945671081543,30000
1.5274677,-0.16899952,-8.19508,0.2108929,1.0,0.00093508343,-83.601234,-83.87123,-83.89357,0.09391238,-0.035476394,1.9704392,-83.43465,-83.70864,-83.73149,1.398916e-05,0.0013337881565093994,96.09840440750122,35000
2.5006008,-0.1191639,-8.203513,0.21300119,1.0,0.0005158044,-87.62947,-87.85118,-87.86989,0.040066138,-0.02707301,1.4931283,-87.51531,-87.72861,-87.748276,1.1769145e-05,0.0012953060626983643,102.57494282722473,40000
17.200726,0.073922545,-8.151348,0.19996002,1.0,0.06807613,-91.521576,-91.6292,-91.64888,0.9910302,-0.32052916,23.837337,-91.46378,-91.544464,-91.56243,1.603452e-05,0.0012917843341827392,109.03387260437012,45000
4.681428,-0.06033218,-8.077104,0.18139872,1.0,0.004380798,-93.83033,-93.9046,-93.92117,0.15640351,-0.056333374,3.905031,-93.77203,-93.843216,-93.86037,1.7961493e-05,0.0012553436279296875,115.31059432029724,50000
