training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
23.546974,0.18136057,0.17724237,0.66532004,-22.700294,22.700294,0.11219386,-2.200621,-22.722906,-24.225742,0.5132792,-0.26997337,16.925976,0.021431519222259523,107.15760445594788,5000
39.270752,0.2588888,0.25255442,0.5821091,-38.429752,38.429752,0.3691334,-7.425523,-38.690407,-43.640484,3.885394,-4.066607,61.31302,0.0015108383655548095,114.71180295944214,10000
44.46948,0.3439182,0.3369639,0.5531527,-43.572407,43.572407,0.39214975,-4.2990804,-44.034767,-59.068695,2.352515,-2.5654356,44.6549,0.0014216444492340088,121.82002854347229,15000
49.603687,0.41693544,0.39884725,0.49128693,-48.695465,48.695465,0.39327803,-0.9152724,-49.235756,-73.525,1.185758,-1.5021112,39.621403,0.0014822501659393311,129.2312843799591,20000
52.911415,0.33356375,0.3239159,0.48393765,-52.093914,52.093914,0.59356827,-6.464159,-52.499176,-86.8966,2.0926864,-2.6441703,43.77342,0.0015159895420074462,136.81123852729797,25000
55.892708,0.35794404,0.34503564,0.4734155,-55.061348,55.061348,0.60654926,-1.3177376,-55.503723,-99.70821,5.012615,-4.7702494,72.42374,0.0015296180725097657,144.45933747291565,30000
57.95638,0.37249708,0.3630153,0.46885982,-57.11502,57.11502,0.49172333,-1.1319101,-57.62564,-99.70825,2.082861,-2.3078144,43.631947,0.0014845454692840577,151.88207077980042,35000
57.976757,0.3076513,0.2984155,0.45406538,-57.215042,57.215042,0.3100151,-1.4070923,-57.59198,-87.69818,2.4942276,-3.1891825,42.26549,0.0014793495655059815,159.278822183609,40000
60.096798,0.29923266,0.29474986,0.45521566,-59.34235,59.34235,0.34181273,-4.5759654,-59.71988,-89.92194,0.59716314,-0.6749825,18.082546,0.0014089933872222901,166.32379293441772,45000
60.123283,0.30708182,0.30181557,0.4269342,-59.389267,59.389267,0.4502552,-5.635227,-59.837013,-94.09547,1.764834,-1.3589498,29.651337,0.001453823947906494,173.5929183959961,50000
60.237873,0.28619772,0.28140143,0.38465515,-59.56702,59.56702,0.3198885,-2.1973863,-59.922905,-97.58289,1.7676017,-1.7469876,33.90509,0.0013807112216949462,180.49648547172546,55000
61.108818,0.2832262,0.27903187,0.4436711,-60.38192,60.38192,0.3674355,-2.3077364,-60.78698,-103.35277,1.7105296,-2.1706135,34.928776,0.0013512892723083496,187.25293588638306,60000
