training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.61524844,2.339099,0.0,-20.348145,-22.998434,1.1712105,-1.6269591,39.79178,0.29837456,-19.574715,-22.225769,0.053152904,0.013589553022384643,67.94777226448059,5000
0.5622935,3.1185014,0.0,-31.364397,-40.305645,3.1690834,-2.6575933,65.08848,0.91437584,-30.779266,-39.692997,0.11066497,0.0013641007423400879,74.76828217506409,10000
0.551018,2.48153,-1.7664437,-39.836647,-53.532425,5.2373986,-4.346555,109.475235,-3.304305,-39.2266,-53.069508,0.13157168,0.0013598135948181152,81.56735515594482,15000
0.46605018,3.735766,0.0,-39.694206,-62.72634,5.198409,-4.6792808,96.45575,0.39208564,-39.143497,-62.296104,0.19148968,0.0013178428173065185,88.156574010849,20000
0.47262448,4.914281,0.0,-40.926308,-69.15364,3.0007722,-3.6403155,114.847305,0.64600575,-40.586666,-68.820724,0.21793634,0.0013405152797698974,94.85915446281433,25000
0.52034086,3.2363176,0.0,-44.12889,-74.94688,6.5921607,-4.570218,154.23569,-0.3747422,-43.742283,-74.68717,0.17749472,0.0013139647006988526,101.42898297309875,30000
0.4732527,4.0517297,0.0,-46.256714,-79.72178,5.875491,-7.8157654,117.4989,-4.313297,-45.75692,-79.507706,0.20904893,0.0013111247062683106,107.98461031913757,35000
0.46988118,3.8239522,0.0,-46.80071,-83.3929,6.1014376,-6.950567,103.59867,-2.6002138,-46.380753,-83.25115,0.16867691,0.0013687323570251465,114.82827568054199,40000
0.41920376,2.4961329,0.0,-46.262688,-86.04767,7.6902485,-4.104354,97.03221,0.91135824,-45.71631,-85.90019,0.20611113,0.001352074146270752,121.58865189552307,45000
0.43590438,2.8031807,0.0,-49.552505,-88.47761,2.0687351,-2.0032601,69.06984,0.044240035,-49.166824,-88.3606,0.2158848,0.001377719259262085,128.4772515296936,50000
0.414507,5.6093717,0.4882872,-47.291725,-90.189415,10.040438,-7.193365,155.88165,1.2267286,-46.83171,-90.08535,0.3361257,0.001386184787750244,135.40817952156067,55000
0.41652226,1.842291,0.0,-48.7741,-91.45628,2.7898078,-1.7012103,58.810223,-0.052792653,-48.462418,-91.36751,0.14456204,0.001333257818222046,142.07447242736816,60000
0.4271376,3.6405325,0.0,-46.084213,-92.50626,3.0517907,-6.0082936,106.73705,0.4516706,-45.421707,-92.43528,0.2460658,0.0013238590717315674,148.6937713623047,65000
0.4243956,2.914987,0.0,-47.981983,-93.36868,6.694835,-4.8194003,92.99063,0.6593203,-47.583893,-93.29759,0.3020565,0.0013128166198730468,155.25785732269287,70000
0.48228258,2.7147322,0.0,-47.89572,-93.991646,10.70898,-7.137672,136.38257,-0.54886353,-47.547913,-93.94517,0.21880552,0.001313101625442505,161.82337045669556,75000
0.45989084,2.3462114,0.0,-46.174347,-94.42231,7.0249953,-10.164251,105.727585,0.49029142,-45.672966,-94.36686,0.20526296,0.0012862867832183838,168.25480842590332,80000
0.4281689,3.6368191,0.0,-47.3237,-95.02634,5.4994745,-3.7048206,99.07596,1.8532495,-46.897682,-94.98175,0.2268563,0.001297267484664917,174.7411494255066,85000
