training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
37.19525,-0.65491456,-8.979614,0.40702635,1.0,0.6940921,0.0,-18.700794,-22.04618,3.9365969,-4.523766,113.05755,-0.4948523,-17.928349,-21.25876,0.011497753,0.016019548606872557,80.09775161743164,5000
17.383873,-0.6966756,-8.558775,0.3018165,1.0,0.72046185,0.0,-34.023075,-39.707188,5.917292,-5.922337,131.39133,0.09254917,-33.44696,-39.097034,0.02071381,0.0014159315586090087,87.1774172782898,10000
25.116652,-0.6465691,-8.423395,0.26797166,1.0,1.2593699,0.0,-45.271923,-53.893314,4.001732,-5.3152027,105.85176,-0.48305166,-44.82398,-53.426758,0.033096544,0.0014195711612701417,94.27528595924377,15000
14.049711,-0.5708902,-8.42853,0.26925552,1.0,2.1563349,0.0,-52.399925,-64.07705,10.55452,-19.749912,170.91942,-0.14291441,-52.057312,-63.716583,0.07239501,0.001373694658279419,101.14376783370972,20000
24.450674,-0.35597754,-8.237626,0.2215294,1.0,0.64732766,0.0,-60.15467,-71.59559,5.917382,-4.733701,108.32698,-0.24784265,-59.79534,-71.30881,0.060141396,0.0013357058048248291,107.8223009109497,25000
354.53848,0.24423888,-8.231894,0.22009626,1.0,20.91761,0.12829816,-62.108177,-76.80438,80.70431,-39.10021,844.1165,1.0557939,-61.682365,-76.573074,0.38570195,0.0014312169551849365,114.97838950157166,30000
118.76659,-0.24198014,-8.283472,0.2329908,1.0,1.1790843,0.0,-64.66824,-82.40518,20.856976,-21.907774,271.25098,0.61442304,-64.299416,-82.174614,0.080811955,0.0014153875350952148,122.05533909797668,35000
114.99145,-0.16719255,-8.091621,0.1850284,1.0,1.1772941,0.0,-67.05772,-89.845856,35.819145,-29.35356,332.2712,0.044400238,-66.75617,-89.71745,0.09627501,0.0014340059757232666,129.22537660598755,40000
61.76983,-0.3543463,-8.109461,0.18948823,1.0,0.900607,0.0,-70.330284,-94.282974,6.2771754,-7.454595,129.49712,0.16181952,-70.06679,-94.23778,0.065447465,0.0014098135471343994,136.2744517326355,45000
49.45519,-0.45023996,-8.131109,0.19490024,1.0,1.1490066,0.0,-70.221085,-101.00569,7.1342826,-9.934389,167.2175,-0.21093231,-69.96626,-100.87406,0.062225714,0.0014613431453704834,143.58117699623108,50000
