training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
25.754993,0.05298383,0.32489634,0.6049317,-24.620224,24.620224,0.00028445956,-23.575598,-24.6193,-24.733522,0.16300535,-0.14932148,9.039419,0.016807256174087525,84.03628468513489,5000
42.69228,0.049565412,0.31519374,0.4993474,-41.697277,41.697277,7.0002105e-05,-41.25759,-41.696983,-41.731716,0.152135,-0.18677825,8.3718605,0.0014108056545257567,91.09032130241394,10000
55.9402,0.03810804,0.2866787,0.47695312,-55.08217,55.08217,0.0052724117,-54.911243,-55.082565,-55.124153,0.21050781,-0.165854,11.224946,0.0014086906909942627,98.1337788105011,15000
66.51798,0.044720564,0.3069718,0.44533506,-65.62544,65.62544,4.3888285e-05,-65.549995,-65.62544,-65.636696,0.21372531,-0.16242108,8.18915,0.001418855094909668,105.22805786132812,20000
74.528175,0.03732996,0.27686733,0.3838864,-73.77099,73.77099,0.022388818,-51.613087,-73.78664,-74.40171,0.2034598,-0.28902745,11.090654,0.0014655953407287598,112.55603790283203,25000
80.46657,0.034848288,0.2676282,0.37175328,-79.74633,79.74633,0.21659246,-50.919373,-79.76488,-80.26309,0.6664949,-0.9072589,18.578314,0.0015760715007781983,120.43639922142029,30000
83.66013,0.03269364,0.30618337,0.4141215,-82.919075,82.919075,0.15625623,-37.511894,-82.9886,-85.24353,1.3254529,-1.0518149,20.610714,0.001419613742828369,127.53447699546814,35000
86.650604,0.033596523,0.25022745,0.36445987,-85.95018,85.95018,0.54130125,-36.002285,-86.04323,-88.708496,1.4667641,-1.579376,28.560875,0.001394643497467041,134.50770354270935,40000
88.83418,0.033376735,0.24477854,0.37909192,-88.12132,88.12132,1.2825807,-47.4609,-88.19566,-91.23697,2.5532892,-2.0693967,35.90503,0.0014822523593902587,141.9189772605896,45000
90.40531,0.03324232,0.2500408,0.36488256,-89.70801,89.70801,0.79923874,-36.730446,-89.77481,-93.43474,1.5402523,-3.0625744,32.26558,0.0016171217918395995,150.00459957122803,50000
91.788,0.031965032,0.27097017,0.35219005,-91.116165,91.116165,0.41858196,-33.650055,-91.15845,-95.18707,2.5919855,-1.5904553,31.938824,0.0013714151382446288,156.86167860031128,55000
93.85358,0.032792754,0.2659182,0.34123302,-93.18442,93.18442,0.17106475,-21.32334,-93.20691,-96.45165,0.50247866,-0.4734782,14.407701,0.0014178183555603027,163.95077323913574,60000
94.94132,0.029656705,0.27113783,0.37767655,-94.26708,94.26708,0.17051837,-19.719986,-94.308945,-97.35144,0.6012787,-0.4825984,22.835705,0.0017122633457183837,172.5120940208435,65000
93.93849,0.029668855,0.25841933,0.37867805,-93.26312,93.26312,0.06494348,-11.985285,-93.32102,-98.3566,0.2571015,-0.24319734,13.407494,0.0014126484870910644,179.57534527778625,70000
96.27542,0.029867787,0.26372436,0.334351,-95.642395,95.642395,0.27354747,-32.26002,-95.692856,-99.07096,0.41476747,-0.488811,17.241394,0.0014386745929718017,186.7687270641327,75000
97.41235,0.030128548,0.268923,0.36734477,-96.74372,96.74372,0.36626375,-40.80844,-96.77482,-99.55813,0.33766854,-0.5266042,16.234613,0.001431334400177002,193.92541217803955,80000
95.5598,0.026622858,0.24481282,0.33023664,-94.96333,94.96333,0.27472398,-37.89285,-95.03899,-100.107735,1.8979377,-1.3977737,28.250294,0.001442574167251587,201.1382918357849,85000
96.96866,0.026897999,0.24413352,0.36436084,-96.33532,96.33532,0.6060663,-14.291682,-96.38933,-100.424644,1.1461018,-1.014972,24.486528,0.0015380431652069091,208.82851576805115,90000
97.439705,0.026506253,0.28462255,0.3537322,-96.82091,96.82091,0.39731196,-33.749027,-96.85053,-100.61532,0.8722227,-0.8353571,20.811066,0.0014503325939178467,216.08018469810486,95000
96.974785,0.02947366,0.25126013,0.35054496,-96.329506,96.329506,1.0386426,-13.192264,-96.38267,-100.975716,1.8579392,-3.7894907,41.89395,0.0014681819915771483,223.4211027622223,100000
98.01839,0.026895545,0.27907422,0.32508615,-97.42435,97.42435,0.20518047,-23.24325,-97.45703,-101.22491,0.40800178,-0.29704818,18.016476,0.008200979900360108,264.42601251602173,105000
97.10247,0.029092476,0.2222342,0.28919286,-96.522354,96.522354,0.47774315,-36.97973,-96.58408,-101.18246,1.335274,-1.0160148,24.595901,0.0015140561580657959,271.99630212783813,110000
95.495804,0.02894985,0.24151367,0.33783117,-94.86848,94.86848,3.2118268,-17.474644,-94.9874,-101.03263,2.0525873,-1.8351681,32.114914,0.0015812914848327636,279.9027633666992,115000
94.90842,0.02867055,0.248778,0.29626346,-94.32545,94.32545,0.82133883,-26.21155,-94.45188,-101.16779,1.8546562,-1.1325861,25.59476,0.001513131332397461,287.4684238433838,120000
94.34439,0.027778715,0.2231276,0.3197299,-93.74687,93.74687,0.37781465,-31.217682,-93.806915,-101.09983,0.28657517,-0.43086088,14.467662,0.0015658517360687256,295.2976908683777,125000
92.334984,0.027911946,0.23665562,0.32788718,-91.727974,91.727974,0.649992,-27.118105,-91.8359,-100.98449,0.5228862,-0.8004849,23.173695,0.0014924541473388673,302.759970664978,130000
91.91559,0.0340351,0.2438186,0.32105386,-91.25418,91.25418,1.0281521,-25.376936,-91.40595,-101.32371,1.3174852,-1.0099926,25.187492,0.0016309520244598389,310.91473841667175,135000
88.89108,0.03532551,0.24938296,0.30920792,-88.22862,88.22862,1.0416058,-39.67325,-88.43065,-101.23141,1.2268845,-1.0947239,32.787292,0.001516236639022827,318.49593019485474,140000
85.60488,0.030286185,0.24881111,0.32822633,-84.97379,84.97379,1.0091197,-29.91261,-85.159134,-101.22382,0.7808488,-0.59020865,21.257671,0.0015067017555236816,326.029447555542,145000
86.42141,0.030768123,0.25674114,0.32481122,-85.78892,85.78892,0.54403424,-26.79822,-85.94243,-101.37689,0.8577638,-1.1284,29.062384,0.0015436553955078126,333.74772810935974,150000
82.30473,0.036806606,0.22155717,0.30944654,-81.62722,81.62722,2.52115,-24.297216,-81.93657,-101.14177,2.6976137,-1.871703,48.328888,0.00148006911277771,341.14807772636414,155000
77.984825,0.03796469,0.22471517,0.2722604,-77.33292,77.33292,1.5511255,-16.532717,-77.65853,-101.30523,1.2553856,-0.66801745,30.857412,0.0015511967182159424,348.9040651321411,160000
77.303185,0.036174756,0.23749855,0.2793087,-76.662125,76.662125,1.2159325,-18.305866,-76.95154,-101.2551,1.2287817,-0.82264656,25.82763,0.0014820418357849121,356.3142833709717,165000
75.93013,0.039705716,0.2192074,0.2925332,-75.24054,75.24054,2.01854,-23.88523,-75.60296,-101.30764,5.662807,-4.299928,75.81605,0.0015244792461395263,363.9366834163666,170000
72.52949,0.033778086,0.25731564,0.3162206,-71.87549,71.87549,1.0319854,-14.628722,-72.119385,-101.64262,2.397711,-2.6670253,49.18153,0.0014736388683319092,371.30488896369934,175000
74.43495,0.03454888,0.24085906,0.31812376,-73.77134,73.77134,1.9033941,-20.836285,-74.010925,-101.740135,2.3513706,-2.6272097,45.948288,0.0016549468517303466,379.5796308517456,180000
75.53175,0.03422275,0.26480818,0.29608193,-74.89345,74.89345,1.0637536,-20.173891,-75.14485,-102.05066,0.5837162,-0.9773955,21.792706,0.0015952761173248292,387.5560212135315,185000
76.20099,0.034341782,0.26822206,0.31849626,-75.53908,75.53908,1.4919832,-8.411079,-75.7888,-102.31129,1.1697012,-1.8334154,40.979847,0.001531050729751587,395.2112855911255,190000
71.55451,0.03576608,0.26767802,0.3187331,-70.87812,70.87812,1.3035856,-31.11976,-71.19537,-102.31298,2.0904198,-1.5775287,31.153994,0.0014901897430419921,402.6622428894043,195000
72.16507,0.03011146,0.23461553,0.32279834,-71.54115,71.54115,1.6992803,-9.6719475,-71.74823,-102.46164,1.7931814,-1.7801191,38.004066,0.0014904141426086426,410.11431765556335,200000
73.91862,0.03767573,0.24056834,0.28911802,-73.25274,73.25274,1.8567326,-17.41928,-73.59613,-102.937935,1.5692503,-1.8017558,38.754234,0.006885230731964112,444.54048204421997,205000
69.646736,0.03796822,0.22926822,0.3305948,-68.93646,68.93646,1.162641,-16.35624,-69.24202,-102.69991,0.89446175,-0.8668829,25.037077,0.0015874144077301026,452.47756242752075,210000
73.130135,0.031945385,0.22370705,0.27161482,-72.53906,72.53906,0.89284635,-24.903305,-72.75216,-103.01763,2.3479369,-2.940679,44.387707,0.0015495322227478028,460.22523379325867,215000
71.85915,0.031873822,0.23732162,0.30283487,-71.23758,71.23758,1.1647928,-16.880756,-71.43024,-102.8623,0.82160497,-0.63253677,26.836082,0.0015884419441223145,468.16745138168335,220000
72.590775,0.045104705,0.2328799,0.30362657,-71.8361,71.8361,2.5040622,-13.908696,-72.362686,-102.61621,2.2615204,-4.3011584,51.33636,0.0014701454162597655,475.51819014549255,225000
73.2059,0.030174466,0.2290103,0.28677204,-72.617386,72.617386,0.8104552,-18.74244,-72.8008,-102.8072,0.9566693,-1.3548137,27.228157,0.0015352993011474609,483.194696187973,230000
74.43281,0.03398448,0.26741835,0.32422823,-73.76874,73.76874,1.0664166,-20.512144,-74.06911,-103.05683,1.5463644,-1.3119923,26.922747,0.0014481574535369873,490.43549156188965,235000
76.022446,0.036093682,0.21198882,0.29500034,-75.36651,75.36651,1.7948241,-21.735321,-75.66461,-103.53569,7.348091,-12.583554,103.23662,0.001446151065826416,497.6662504673004,240000
75.50784,0.02838789,0.24581832,0.26841372,-74.95555,74.95555,0.6525109,-38.68862,-75.1085,-103.46851,0.79643214,-0.7326329,22.273802,0.0014760003089904785,505.04626059532166,245000
77.18154,0.03171462,0.23677662,0.27493992,-76.589455,76.589455,1.1045269,-28.35427,-76.90285,-103.61503,2.3007855,-2.957347,39.737965,0.001478269863128662,512.4376134872437,250000
78.70505,0.034344647,0.2338982,0.2999436,-78.06166,78.06166,1.9715092,-8.032167,-78.38127,-102.84909,2.183634,-4.0450907,43.612846,0.0016198980331420898,520.5371141433716,255000
71.21521,0.040829517,0.22241047,0.27966973,-70.527245,70.527245,2.475905,-19.485025,-70.96164,-103.39281,2.6524696,-1.8149503,45.489456,0.0015276921272277832,528.1755836009979,260000
70.50481,0.031237554,0.23232491,0.29793254,-69.8945,69.8945,0.698832,-36.71936,-70.119804,-103.383194,0.6997503,-1.0568997,27.84868,0.0014931473255157472,535.6413311958313,265000
73.92741,0.026592385,0.20828038,0.2502614,-73.411224,73.411224,0.5970051,-39.086105,-73.54517,-103.65745,1.5128059,-1.3327746,29.050026,0.0014684226512908937,542.983452796936,270000
77.33262,0.024907384,0.2062402,0.29166177,-76.791885,76.791885,0.25536156,-31.723732,-76.876236,-103.35058,0.33333042,-0.34794706,15.249594,0.0014914501190185546,550.4407150745392,275000
81.054436,0.026192673,0.23409136,0.31165797,-80.48085,80.48085,0.5082852,-21.487005,-80.59299,-103.59996,1.3024617,-1.363588,22.77053,0.001535656213760376,558.1190052032471,280000
78.14921,0.040716287,0.26487443,0.30621573,-77.43583,77.43583,1.6249355,-21.550095,-77.86718,-103.699425,1.4196641,-2.7471836,35.323513,0.0015171707630157471,565.7048637866974,285000
74.10009,0.03503191,0.23131798,0.2809147,-73.46886,73.46886,1.0847094,-26.766125,-73.81618,-101.98901,1.5503719,-0.8346013,27.945862,0.0014429543018341065,572.9196462631226,290000
73.014626,0.04086437,0.25158802,0.2786981,-72.327286,72.327286,1.9872656,-25.155155,-72.750275,-103.14071,2.7979038,-2.506047,53.76908,0.0014638925552368164,580.2391178607941,295000
