training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.6125599,0.0019979975,-21.478714,-23.482391,-23.60463,0.10387427,-0.077792965,3.9175036,-20.650612,-22.70765,-22.838406,9.880937e-05,0.013466627168655395,67.33313918113708,5000
0.51247996,0.0024526478,-39.028786,-40.449142,-40.505974,0.08613957,-0.11327177,3.7403042,-38.401455,-39.846287,-39.90453,2.6989808e-05,0.0014001069068908692,74.33369135856628,10000
0.49530426,0.00095299014,-52.294228,-53.314915,-53.373295,0.07749005,-0.06952005,3.313085,-51.805275,-52.84282,-52.902466,1.223355e-05,0.0013303659915924072,80.98553371429443,15000
0.5323629,0.00020844168,-62.968838,-63.740234,-63.777992,0.051654693,-0.06967969,1.7421075,-62.570126,-63.37371,-63.41211,2.252288e-05,0.0013864052772521972,87.91756391525269,20000
0.45552534,0.0014754925,-71.55703,-72.19496,-72.23958,0.09294538,-0.08674689,3.4607022,-71.2708,-71.91325,-71.956406,3.0649815e-05,0.0013751120567321777,94.79313683509827,25000
