training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
24.761076,0.18345292,0.1809986,0.7266998,-23.300564,23.300564,0.22759326,-5.532728,-23.304966,-24.477364,2.1159942,-2.2936013,45.64077,0.02010569348335266,100.52847099304199,5000
42.404655,0.16111529,0.15924516,0.6331591,-41.127037,41.127037,0.20957816,-8.622791,-41.155792,-43.674652,2.6880288,-2.335626,39.74032,0.0013826849460601806,107.44189953804016,10000
56.402885,0.17401534,0.17257306,0.60058385,-55.10624,55.10624,0.2949161,-12.686603,-55.188118,-59.103382,7.2982907,-8.723249,87.752495,0.0013679572582244873,114.28169131278992,15000
63.83744,0.17680186,0.17504287,0.5222698,-62.607964,62.607964,0.5363838,0.023854047,-62.830162,-72.44612,1.9846196,-1.8003784,37.781857,0.0013524672031402587,121.04403400421143,20000
67.55418,0.19116253,0.1857894,0.5311934,-66.25833,66.25833,0.5442996,-7.285278,-66.57526,-83.17872,2.5191493,-1.9020592,45.371292,0.001346610927581787,127.77709102630615,25000
70.76562,0.1688661,0.16404285,0.5113442,-69.57881,69.57881,0.3568796,-0.0924141,-69.75917,-91.02014,4.431301,-3.941174,67.42121,0.0013324235439300537,134.4392113685608,30000
75.267075,0.17879662,0.17648014,0.5108,-74.04109,74.04109,0.4043362,-1.4799682,-74.30867,-99.68011,1.2885125,-1.3030897,32.99908,0.0013387165546417236,141.13279747962952,35000
77.18312,0.16556668,0.16137953,0.48566356,-76.03519,76.03519,0.58726525,-1.1784958,-76.31526,-108.98142,2.3827972,-2.2105222,43.541817,0.001380094337463379,148.03327536582947,40000
77.049706,0.19404164,0.19095273,0.4762981,-75.79724,75.79724,1.8912318,-3.8576856,-76.18352,-117.02633,9.59581,-10.523878,131.80836,0.0014110998630523681,155.08877873420715,45000
78.39492,0.15904406,0.1533092,0.45189095,-77.306854,77.306854,0.9838122,-7.473335,-77.58414,-123.87226,4.9595757,-3.9815884,78.286736,0.0014641557216644287,162.40956091880798,50000
78.43022,0.14645153,0.14375445,0.40916774,-77.43525,77.43525,0.5698832,-3.1736784,-77.66406,-128.22198,2.7443407,-2.4603736,53.615673,0.0013936230182647704,169.37768149375916,55000
78.27704,0.158106,0.15524146,0.46489614,-77.17972,77.17972,0.8860763,-2.543249,-77.552124,-131.56361,4.851006,-4.73201,84.78378,0.0013440357685089112,176.09786653518677,60000
79.56892,0.15610634,0.15288399,0.44719267,-78.4973,78.4973,0.5410937,-14.278569,-78.75246,-131.54733,1.7544992,-1.4705685,37.53347,0.001350071382522583,182.8482267856598,65000
76.58937,0.16352369,0.15956245,0.4358835,-75.49939,75.49939,0.86363244,1.3223853,-75.86603,-127.02094,2.9391115,-4.491739,72.492546,0.0013242412090301514,189.46943593025208,70000
79.68557,0.15139122,0.14940615,0.41891447,-78.66109,78.66109,1.2137324,1.0136467,-78.90691,-120.13159,3.469106,-3.285357,65.18266,0.0013263286590576172,196.1010823249817,75000
75.79357,0.16334994,0.1610108,0.414392,-74.72578,74.72578,1.248867,-1.2566227,-75.0297,-115.445274,9.365463,-13.332145,109.2944,0.0013218912124633789,202.71054124832153,80000
79.54721,0.13049124,0.12687159,0.42158362,-78.60366,78.60366,0.5075121,0.03356324,-78.80168,-109.246765,4.3644114,-3.4667616,54.188084,0.0013272541522979736,209.3468155860901,85000
78.59317,0.15273276,0.15181282,0.40900013,-77.57324,77.57324,0.5935792,-5.261092,-77.82231,-108.80536,2.2198865,-2.0624783,41.4546,0.0013278013706207274,215.985826253891,90000
75.84662,0.1446799,0.14252113,0.3692629,-74.898636,74.898636,0.713498,-6.183261,-75.210556,-106.66529,1.6498424,-2.582838,44.26059,0.0013273221492767335,222.6224434375763,95000
76.358376,0.14546533,0.14306712,0.38771337,-75.3888,75.3888,0.50332355,-3.219422,-75.622536,-106.33615,2.074739,-1.7585207,39.504356,0.0013323834896087647,229.28436398506165,100000
77.504166,0.15123276,0.15017353,0.4088393,-76.490395,76.490395,0.45788085,-3.0678618,-76.767044,-104.346176,3.1033814,-2.8406253,53.304684,0.009598495197296143,277.2768440246582,105000
80.79483,0.13772523,0.13383596,0.41862515,-79.8253,79.8253,0.40586787,-8.86596,-79.97447,-105.13815,2.485761,-1.5176105,45.0304,0.0014350983142852782,284.45233941078186,110000
79.6334,0.14495617,0.1434878,0.3803225,-78.673256,78.673256,0.50022334,-4.184647,-78.93349,-103.71039,1.419069,-2.1750727,35.50544,0.00143013858795166,291.6030361652374,115000
75.714096,0.14034276,0.13711172,0.4040836,-74.74864,74.74864,0.7107713,1.2905066,-75.01747,-104.0556,7.632935,-5.494805,76.720146,0.001396185827255249,298.58396911621094,120000
81.344215,0.12512362,0.12236751,0.3729421,-80.47078,80.47078,0.40089673,-2.7097979,-80.69754,-105.5094,1.1992631,-1.531007,32.958183,0.001403497314453125,305.6014587879181,125000
76.46492,0.12751853,0.12469405,0.34996256,-75.60488,75.60488,0.47903058,1.0617594,-75.877075,-103.1477,4.969699,-3.248787,50.03663,0.0014088690757751465,312.64580726623535,130000
80.044334,0.12856957,0.12666246,0.38557348,-79.144485,79.144485,0.3386363,0.3715533,-79.345825,-103.95391,3.8049717,-3.3635335,48.187656,0.001408210515975952,319.6868631839752,135000
77.79919,0.11918353,0.115146875,0.3495843,-76.97287,76.97287,0.29515833,0.42589974,-77.25293,-105.549965,1.9464794,-1.7850374,31.81582,0.001383387041091919,326.60380125045776,140000
79.643524,0.12643284,0.123015195,0.38617924,-78.75162,78.75162,0.3795995,-9.449409,-78.93887,-103.97741,1.4377364,-1.7601689,36.769264,0.0013670870304107667,333.43924021720886,145000
78.80377,0.13148744,0.12821734,0.36810562,-77.90971,77.90971,0.48606515,-1.2230976,-78.15315,-103.7198,1.4451694,-1.4928299,31.477959,0.0014575875759124757,340.7271842956543,150000
78.28662,0.13673794,0.13420981,0.3669866,-77.37268,77.37268,0.7210107,-2.4569912,-77.57336,-105.85737,5.468565,-3.8243134,52.888687,0.0013905333042144776,347.6798572540283,155000
79.05368,0.13272354,0.13098234,0.37325674,-78.14953,78.14953,0.47648108,-6.4920354,-78.41647,-103.81593,5.1625304,-1.9550177,43.093014,0.0014129364967346192,354.74454617500305,160000
79.55508,0.13953188,0.13912243,0.35452113,-78.642426,78.642426,0.23831755,-8.502945,-78.82885,-105.68473,1.5348829,-2.3358185,35.549706,0.0014166553497314454,361.8278262615204,165000
81.11252,0.13130364,0.12938493,0.36308777,-80.22421,80.22421,0.32109022,0.4422499,-80.46015,-105.2403,3.369442,-1.7519861,47.13174,0.001432630968093872,368.99098467826843,170000
78.51595,0.14043628,0.13706876,0.35338232,-77.60082,77.60082,0.32561088,-1.6598158,-77.883255,-105.044395,0.9897159,-1.422708,28.483212,0.0014426772117614745,376.2043743133545,175000
77.19201,0.12961829,0.12517759,0.36392495,-76.30961,76.30961,0.41679087,-0.0021615177,-76.55263,-104.59704,2.486637,-1.8216008,35.37377,0.0014379705429077149,383.39422941207886,180000
74.37213,0.14900306,0.14610723,0.34163266,-73.43449,73.43449,0.41565695,0.6402956,-73.68751,-103.28836,3.3680642,-1.804277,41.273926,0.0014523537158966065,390.65600180625916,185000
77.40435,0.12172681,0.11877152,0.34917378,-76.56827,76.56827,0.49257714,0.5241571,-76.71505,-104.1686,3.7154732,-5.6658874,55.9522,0.0014481871128082275,397.89694118499756,190000
78.04817,0.13073853,0.12981297,0.37513402,-77.150085,77.150085,0.6946351,0.68086004,-77.39848,-103.109726,19.645784,-28.606829,185.54536,0.0014082744121551513,404.93831968307495,195000
77.94955,0.11715692,0.11594395,0.3449618,-77.135956,77.135956,0.44595948,-1.5442207,-77.36667,-106.77522,6.1956563,-6.00154,67.969376,0.0014172327995300292,412.02448773384094,200000
80.73982,0.1269042,0.123811506,0.35656324,-79.87564,79.87564,0.2477346,0.35469422,-80.13356,-101.439026,0.92235714,-1.8208001,26.39101,0.012163143730163575,472.8402097225189,205000
77.653404,0.122061305,0.11947501,0.34236664,-76.82279,76.82279,0.59668475,-0.61990017,-77.05107,-103.05467,10.434339,-4.410988,92.906906,0.0014457911014556886,480.06916856765747,210000
76.48931,0.113255784,0.111329556,0.31437984,-75.72191,75.72191,0.21496508,-0.13940504,-75.956985,-103.87647,2.246297,-1.3286316,26.844234,0.0014464267253875731,487.30130529403687,215000
76.6357,0.1311317,0.12794794,0.3371546,-75.77402,75.77402,0.29143432,-6.4280124,-76.050125,-101.7946,1.2692746,-1.3397912,23.455221,0.0014420156478881837,494.51138710975647,220000
78.03516,0.11506693,0.11341973,0.34029815,-77.23459,77.23459,0.35947394,-6.876914,-77.43993,-102.64637,2.3715966,-3.1951244,34.016853,0.0014320964813232422,501.67187309265137,225000
80.33402,0.13395959,0.13205932,0.33347863,-79.46471,79.46471,0.19396335,-0.6685406,-79.66203,-102.513504,1.2081585,-1.680314,25.973202,0.001434657096862793,508.8451614379883,230000
78.31029,0.12502007,0.123629704,0.3334713,-77.47674,77.47674,0.35252404,0.9899362,-77.65215,-104.53677,1.3810291,-1.0026681,28.655903,0.0014631796836853028,516.1610662937164,235000
78.34687,0.13696423,0.13441506,0.3724204,-77.42659,77.42659,0.20967302,0.3508987,-77.71132,-101.73412,1.2097516,-1.5805504,26.023142,0.001426091241836548,523.2915256023407,240000
77.41153,0.12542054,0.12141975,0.37875062,-76.5311,76.5311,0.2744128,-7.0773687,-76.857834,-104.7767,1.2377373,-1.2699124,29.202528,0.0014161102294921876,530.3720803260803,245000
75.94362,0.12681158,0.12326935,0.33329785,-75.10307,75.10307,0.29400653,-5.2404747,-75.35939,-101.280815,3.3157942,-2.1316195,33.184605,0.0014434537887573241,537.5893530845642,250000
74.720825,0.12970106,0.12668523,0.32831562,-73.8737,73.8737,0.3584085,1.1271316,-74.1252,-102.252,1.7732874,-2.9980452,31.690798,0.0014209592819213867,544.6941528320312,255000
