training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.002591888,-0.84794223,-9.648734,0.57430655,1.0,0.019451875,-19.298445,-21.684742,-22.224579,0.27380112,-0.29517755,5.91724,-18.313532,-20.89481,-21.462717,0.0011381465,0.00902071213722229,45.10356330871582,5000
0.023488149,-0.6321478,-9.334598,0.49577242,1.0,0.019607915,-35.163292,-37.9682,-38.66856,0.26739988,-0.27929598,5.8844895,-34.26069,-37.334106,-38.049957,0.0015803257,0.0007952397346496582,49.079768896102905,10000
0.09402695,-0.59803724,-9.059939,0.42710787,1.0,0.06427318,-44.562553,-50.45026,-51.539062,0.76728225,-0.655835,18.272089,-43.161964,-49.94149,-51.04294,0.0019896582,0.0008052873134613037,53.10620880126953,15000
28.829662,-0.013994396,-8.776039,0.3561328,1.0,0.40988612,-54.611763,-60.196922,-61.47883,4.4997644,-4.911182,146.73624,-53.88232,-59.78217,-61.116398,0.014233112,0.0007961522102355957,57.086973667144775,20000
0.2533629,-0.41028604,-8.490764,0.2848139,1.0,0.039005086,-58.599285,-67.5899,-68.95679,0.8184722,-0.7951844,20.508438,-57.355457,-67.259865,-68.668,0.001900679,0.000778306770324707,60.978511095047,25000
0.32112074,-0.38446462,-8.354048,0.2506351,1.0,0.052367724,-66.930786,-73.21026,-74.734886,1.3321921,-1.062432,29.849016,-66.2515,-72.935936,-74.481636,0.0023931426,0.0007743658542633057,64.85034465789795,30000
1.5093329,-0.23402572,-8.363998,0.25312257,1.0,0.04072908,-71.83239,-77.60034,-79.36745,0.3064478,-0.4601634,7.7237906,-71.242485,-77.38824,-79.154755,0.0019987982,0.0007879240036010743,68.78996777534485,35000
13.149581,-0.0055263042,-8.207859,0.21408765,1.0,0.12471968,-70.09638,-81.02505,-82.9367,2.6627853,-3.5557163,84.87393,-68.754776,-80.83625,-82.76646,0.0044415793,0.0007995615959167481,72.78777933120728,40000
2.2424254,-0.18482956,-8.247045,0.2238843,1.0,0.046166606,-79.811035,-83.548935,-85.60525,0.11834401,-0.2109169,4.581723,-79.604965,-83.38342,-85.46299,0.0020455203,0.000811895751953125,76.84726166725159,45000
1.5848107,-0.27854344,-8.307642,0.23903358,1.0,0.08339619,-78.942604,-85.47543,-87.73825,1.5497559,-0.98841417,33.6912,-74.127014,-85.29927,-87.68601,0.008895973,0.0007652882575988769,80.67370653152466,50000
17.27937,-0.1402612,-8.221651,0.21753584,1.0,0.108612955,-74.254555,-87.066925,-89.5041,1.467302,-1.2142935,26.92889,-74.21138,-86.9319,-89.509285,0.0034078285,0.0007692133903503418,84.51977705955505,55000
1.7534194,-0.25018677,-8.166393,0.20372121,1.0,0.07692209,-78.26993,-88.38995,-91.08404,2.1919494,-1.6841029,46.358067,-78.22584,-88.28282,-90.92252,0.0030198838,0.0008080702781677246,88.560133934021,60000
6.4630957,-0.15870252,-8.189919,0.20960286,1.0,0.09527755,-82.277664,-89.30031,-92.20798,0.56199366,-0.3480079,15.630337,-81.98265,-89.18406,-92.06304,0.006220731,0.0007519353866577149,92.31981420516968,65000
11.727505,-0.07541764,-8.163654,0.20303653,1.0,0.11068568,-75.32216,-89.64156,-92.77004,0.9282237,-1.3850689,32.52251,-75.116646,-89.53464,-92.69308,0.0063625006,0.0007968380451202393,96.30400800704956,70000
16.28735,-0.13540623,-8.184237,0.20818216,1.0,0.19377016,-71.861496,-90.10184,-93.58853,0.90665084,-0.89123434,28.419594,-75.65854,-89.998955,-93.54486,0.022235366,0.0007562305450439453,100.08516383171082,75000
6.118574,-0.16796172,-8.134122,0.1956534,1.0,0.08912196,-83.9085,-90.67474,-94.24248,1.1344225,-0.5746126,21.86942,-84.16087,-90.58241,-94.183426,0.0050532455,0.0007731986522674561,103.95115995407104,80000
45.19677,-0.038219005,-8.137397,0.19647229,1.0,0.20000719,-78.98758,-90.778946,-94.44311,1.6637658,-2.1855516,67.197296,-79.29966,-90.66698,-94.389946,0.0076338183,0.0007986071586608887,107.9441990852356,85000
25.795492,-0.22888917,-8.165617,0.20352717,1.0,0.23341954,-65.02812,-90.55091,-94.92557,1.6988602,-1.9575404,50.666927,-67.09006,-90.45437,-94.86464,0.014865542,0.0008344277858734131,112.1163420677185,90000
18.469398,-0.2504779,-8.099393,0.1869711,1.0,0.43112057,-52.893234,-90.463875,-94.945786,2.406771,-1.8882655,75.8552,-54.61159,-90.37932,-94.95222,0.033359896,0.0008038394451141357,116.13554215431213,95000
47.110683,0.011327267,-8.201952,0.21261078,1.0,0.24521104,-64.3219,-90.17784,-94.84024,1.9478415,-3.6423898,84.93447,-65.48036,-90.09396,-94.79311,0.009427422,0.000780492353439331,120.03800702095032,100000
2.298129,-0.4446441,-8.19379,0.21057062,1.0,0.33973166,-61.16397,-89.80385,-95.12784,6.7157826,-3.9526734,117.82468,-61.170498,-89.69616,-95.07776,0.016097104,0.006450538396835327,152.29070234298706,105000
23.192078,-0.31612694,-7.980788,0.15731998,1.0,0.76584476,-50.988976,-89.83498,-94.755974,3.5968413,-1.9548129,75.33072,-40.466965,-89.68898,-94.684,0.025825031,0.0008044966220855712,156.31319117546082,110000
12.833969,-0.26600206,-8.110254,0.18968649,1.0,0.43870753,-43.10595,-88.985146,-94.67949,2.7765858,-1.1825641,58.506428,-35.807716,-88.86598,-94.62577,0.020868506,0.0007997673511505127,160.31203150749207,115000
7.641863,-0.29243234,-8.126976,0.19386697,1.0,0.2492606,-65.32708,-88.72632,-94.78358,3.4912057,-2.7364361,64.66953,-64.74868,-88.63385,-94.6565,0.016121894,0.0007980556011199951,164.30231261253357,120000
39.119713,-0.062296227,-8.01249,0.16524556,1.0,0.17275542,-34.171963,-88.763214,-94.75217,2.4559631,-1.8870871,60.596256,-34.550392,-88.654724,-94.69995,0.008568188,0.00080841064453125,168.34436917304993,125000
42.720684,-0.036980912,-8.082056,0.1826368,1.0,0.34409016,-56.575745,-88.44501,-94.923935,2.9563189,-2.830991,67.27589,-56.058197,-88.3851,-94.79329,0.01455555,0.0007184096813201904,171.93642115592957,130000
28.970234,-0.109795794,-8.03765,0.17153552,1.0,0.33496872,-53.212296,-88.35818,-94.48306,1.0445882,-1.7123512,52.64431,-52.748398,-88.23399,-94.293945,0.011569238,0.0007649577617645264,175.76121282577515,135000
15.319771,-0.23468982,-8.0516815,0.17504351,1.0,0.34164917,-62.715908,-88.290115,-94.27098,1.6586086,-1.2900357,29.760992,-62.34236,-88.136246,-94.099335,0.010548506,0.0007692212104797363,179.60732245445251,140000
11.649672,-0.33406436,-8.078178,0.18166757,1.0,0.33190867,-20.821316,-87.53186,-93.92922,3.5260026,-1.757296,70.35424,-19.499483,-87.398315,-93.89644,0.021311533,0.0007529258251190186,183.37195587158203,145000
56.56716,-0.13449621,-8.04054,0.17225789,1.0,0.3196918,-16.118002,-88.202866,-94.02114,2.5301685,-1.8201727,66.70229,-14.752489,-88.057655,-93.963264,0.016339447,0.0007889179229736328,187.31654953956604,150000
38.323025,-0.06719121,-8.022179,0.16766779,1.0,0.4780159,-46.88881,-88.192505,-93.893745,2.2074344,-2.6461496,73.10157,-46.29708,-88.08028,-93.81462,0.016539998,0.0007836101055145264,191.23460412025452,155000
22.79021,-0.3259299,-8.006027,0.16362979,1.0,0.39937454,-20.089506,-87.66852,-93.82265,3.367207,-1.5307032,61.71643,-21.28621,-87.510155,-93.75485,0.0108738,0.0007805065155029297,195.13714027404785,160000
192.67941,0.24021302,-8.046781,0.1738182,1.0,1.5527673,-30.593382,-87.92218,-93.78741,15.130491,-11.039445,261.7274,-47.26062,-87.95578,-93.71849,0.36596268,0.000783998966217041,199.05713868141174,165000
57.211872,-0.09581688,-8.016825,0.16632922,1.0,0.4345319,-13.168385,-88.20799,-93.80508,7.0082774,-3.5426192,72.94324,-12.551818,-88.077934,-93.71899,0.0116735045,0.0007797525882720948,202.95590662956238,170000
12.420403,-0.22055969,-8.116589,0.19127008,1.0,0.26128614,-0.3619839,-87.31419,-93.38126,3.2989736,-1.3980572,30.430573,0.14827248,-87.14661,-93.317314,0.02726693,0.0007582053184509277,206.74693655967712,175000
41.610077,-0.20977531,-8.030872,0.16984086,1.0,0.89765346,-57.459072,-87.80509,-93.6045,2.2398953,-5.723345,68.357956,-51.87695,-87.67671,-93.540306,0.14139074,0.0007376851081848145,210.4353654384613,180000
123.684906,0.030998453,-8.065043,0.17838374,1.0,0.5185535,-44.713566,-87.66608,-93.94847,3.9621668,-5.0229163,126.66332,-44.145535,-87.56536,-93.91148,0.033379503,0.0007963545799255372,214.4171416759491,185000
15.218575,-0.508901,-8.109589,0.18952012,1.0,0.58998543,-44.17583,-87.89291,-93.58425,6.9743085,-4.131943,138.29239,-43.608303,-87.7769,-93.49895,0.02075839,0.0008069158554077149,218.45172500610352,190000
12.614702,-0.16323823,-8.113672,0.19054103,1.0,0.28337324,-34.650005,-87.49705,-93.696915,1.2222341,-2.1743183,31.031343,-33.966175,-87.3674,-93.656136,0.023804255,0.0007557045459747314,222.23025131225586,195000
154.94775,0.047173254,-8.012266,0.16518971,1.0,0.91094387,-24.344952,-87.33675,-93.573524,6.4641695,-5.462219,153.44342,-22.712118,-87.194534,-93.5007,0.027278468,0.0007563998222351074,226.01225399971008,200000
6.8841777,-0.2780554,-8.013832,0.16558085,1.0,0.3261927,-44.71331,-87.807144,-93.518524,4.2560854,-3.4065347,85.149895,-53.623085,-87.7174,-93.542046,0.12502803,0.00553292670249939,253.67689156532288,205000
13.669413,-0.25469202,-8.011621,0.1650284,1.0,0.6329919,-16.381527,-86.979355,-93.78608,2.227556,-7.6963987,57.546608,-14.621407,-86.84204,-93.67304,0.02299262,0.0007693512916564941,257.5236532688141,210000
6.558847,-0.31972694,-7.9455037,0.14849894,1.0,0.3186311,-0.18691039,-87.6627,-93.51901,2.9761412,-2.1565127,67.30505,0.3118422,-87.53342,-93.45613,0.009609871,0.0007927619457244873,261.48746705055237,215000
311.12726,0.22234015,-7.980748,0.15731001,1.0,1.2772067,-40.212482,-86.89812,-93.63171,6.763878,-11.382214,271.7231,-43.13976,-86.748886,-93.57359,0.09263592,0.0007952584266662598,265.4637620449066,220000
16.294136,-0.45833465,-8.058191,0.17667098,1.0,7.4454136,-38.435482,-86.05387,-93.532455,12.276484,-20.776278,190.526,-46.450874,-86.014206,-93.47454,0.026072161,0.0007864707946777344,269.39611983299255,225000
210.9335,0.11017846,-8.05632,0.17620292,1.0,1.1383996,-0.7195187,-86.84097,-93.58381,11.555028,-8.359642,182.84056,-0.1389869,-86.71189,-93.531265,0.050718516,0.0007879059314727783,273.3356533050537,230000
16.596127,-0.3262366,-8.139109,0.19690007,1.0,0.5696939,-29.77153,-86.2498,-93.3273,2.964927,-5.1460047,69.69211,-28.85507,-86.12625,-93.26942,0.022440346,0.0008025155544281006,277.3482344150543,235000
15.829114,-0.32573223,-8.023366,0.16796455,1.0,0.47113168,-41.99752,-86.505844,-93.60666,2.2067435,-2.411852,51.8049,-41.394558,-86.349,-93.54289,0.04142895,0.0007981657981872559,281.3390667438507,240000
7.5757194,-0.3452878,-8.098612,0.18677594,1.0,0.35452712,-50.607616,-86.29297,-93.58096,2.758586,-1.5868069,53.6209,-50.18518,-86.14617,-93.453125,0.015170324,0.0007939667701721191,285.30890417099,245000
18.83782,-0.38073412,-8.091711,0.18505055,1.0,0.9156929,-56.06806,-85.996284,-93.32208,3.6929803,-4.438282,86.552666,-52.89936,-85.84415,-93.25498,0.041901972,0.0007917557716369629,289.2676863670349,250000
19.693129,-0.2168772,-8.04422,0.17317787,1.0,0.66212887,-38.685116,-86.4045,-93.33232,2.4495564,-5.7950683,50.214073,-38.583412,-86.310295,-93.26422,0.023989044,0.000793117618560791,293.23327922821045,255000
64.282364,-0.07449806,-8.005691,0.16354556,1.0,0.46225464,13.342853,-85.13571,-93.502495,3.0360796,-3.7336333,96.3719,14.007529,-84.9984,-93.44482,0.023111682,0.0007910024166107178,297.1882951259613,260000
