training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
23.909197,0.5352709,0.027141046,0.3073522,-23.102516,23.102516,0.0014822617,-22.47216,-23.101004,-23.816202,0.2622314,-0.30461615,8.471632,0.08210234708786011,410.51175713539124,5000
41.25108,0.50633204,0.02405885,0.29929549,-40.504158,40.504158,0.00048270042,-39.93423,-40.504135,-41.282078,0.20529598,-0.19225436,5.7141676,0.010103064918518066,461.0271327495575,10000
54.96978,0.474309,0.018397912,0.27030563,-54.311493,54.311493,0.0005179243,-53.885403,-54.311604,-54.826607,0.16031192,-0.1702007,5.094456,0.009773690366744995,509.8956341743469,15000
65.92375,0.46927372,0.020162703,0.2821456,-65.25285,65.25285,0.00027614174,-64.92031,-65.252945,-65.694336,0.18442497,-0.27405924,4.8952794,0.009923354196548462,559.5124695301056,20000
74.16468,0.4423895,0.022534985,0.25181165,-73.49694,73.49694,0.0077271583,-72.55409,-73.497635,-73.64995,0.5103849,-0.29330406,7.836386,0.009603339052200318,607.5292136669159,25000
80.927376,0.5036973,0.018686011,0.22093396,-80.23682,80.23682,7.616636e-05,-80.127045,-80.237114,-80.34977,0.2556728,-0.37898758,6.2590003,0.009773842096328735,656.3984758853912,30000
85.78702,0.450983,0.017174874,0.23310682,-85.16428,85.16428,9.7630436e-05,-84.92654,-85.16472,-85.21511,0.24236575,-0.36322314,5.3565984,0.009880496263504028,705.8009815216064,35000
89.42014,0.48367208,0.019896762,0.24985477,-88.7375,88.7375,0.13475716,-66.43942,-88.780914,-89.54643,0.3025136,-0.260298,11.714516,0.009738318681716918,754.4926257133484,40000
79.55652,0.43541533,0.06444273,0.25620526,-78.47668,78.47668,9.520168,-29.975843,-79.52838,-92.58697,3.2648394,-4.1271544,77.21683,0.009933788776397705,804.161618232727,45000
70.385475,0.45669773,0.026095772,0.22416918,-69.667816,69.667816,1.2416956,-21.444336,-69.89546,-94.74724,2.5050464,-2.0138614,43.60412,0.009710778379440307,852.7155396938324,50000
73.30433,0.4213373,0.034017358,0.24277991,-72.542816,72.542816,0.7396897,-28.449635,-72.64936,-96.15861,1.5722635,-1.8377377,34.93743,0.009922102975845337,902.3261058330536,55000
76.88088,0.4566226,0.021117363,0.24529928,-76.21309,76.21309,0.52473736,-25.50894,-76.32758,-97.17738,1.1241355,-1.0697111,24.029873,0.009785029458999634,951.2512991428375,60000
79.43087,0.48081708,0.018898677,0.21939039,-78.76106,78.76106,0.5727552,-19.143528,-78.85773,-98.13902,1.4879113,-1.4910275,30.43204,0.009818531227111816,1000.343986749649,65000
83.20793,0.43743217,0.021019641,0.23674648,-82.5603,82.5603,0.16052571,-30.019663,-82.57924,-98.935135,0.49651965,-0.29169562,12.501758,0.009800628709793091,1049.3471791744232,70000
85.010826,0.43524826,0.018709294,0.23245335,-84.38848,84.38848,0.41927668,-21.339619,-84.46927,-99.41864,0.9640083,-0.84875494,22.993633,0.009767709350585938,1098.185777425766,75000
79.607666,0.43496674,0.032097477,0.2134051,-78.85172,78.85172,2.0383406,-32.714615,-79.11594,-100.24317,0.8675008,-1.3018242,29.2191,0.00992796754837036,1147.8256380558014,80000
80.81794,0.44384104,0.0238888,0.25673026,-80.13521,80.13521,0.24722561,-15.089625,-80.20722,-100.53243,0.39800096,-0.33107567,15.130749,0.009874963092803954,1197.2005014419556,85000
82.81154,0.40601593,0.022555362,0.24594715,-82.17997,82.17997,0.61862993,-13.790709,-82.33217,-100.361244,1.8597217,-1.8627751,41.77175,0.009963205814361572,1247.016587972641,90000
81.25382,0.4027938,0.045739803,0.2074553,-80.39363,80.39363,2.9244537,-36.376575,-81.10498,-100.77135,5.1370807,-3.4362073,60.708946,0.009816600942611694,1296.099639415741,95000
