training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
22.811308,0.1859908,0.18030491,0.70401585,-21.54932,21.54932,0.42520592,0.3067094,-21.583279,-24.5934,3.1103501,-5.719692,62.990013,0.022707992267608643,113.53996443748474,5000
39.836445,0.18559447,0.18013525,0.6204191,-38.65924,38.65924,0.51456594,-2.8203077,-38.798286,-45.342617,2.0092838,-2.7024982,40.972343,0.0015984852313995362,121.53240656852722,10000
53.99099,0.17245618,0.17100808,0.5374133,-52.936207,52.936207,0.31824854,-0.87876284,-53.06614,-65.18184,2.3726923,-1.9554976,37.05484,0.0018617079257965089,130.8409547805786,15000
60.296314,0.17678663,0.17233779,0.47165146,-59.294304,59.294304,1.0607078,-3.7085657,-59.535126,-82.46441,1.9096094,-1.7307327,49.002636,0.0018501433849334717,140.0916771888733,20000
64.00736,0.20102231,0.19396976,0.5254315,-62.87886,62.87886,1.1970904,-0.23489684,-63.146942,-94.93231,6.5156236,-6.8202977,102.53103,0.0018597256183624268,149.39031314849854,25000
66.273285,0.18210682,0.1788361,0.49811012,-65.22885,65.22885,0.5722991,-1.8886439,-65.462715,-104.959885,5.308733,-3.5173376,72.43119,0.0015633594036102295,157.2071132659912,30000
68.79517,0.18917847,0.18745327,0.46360102,-67.76404,67.76404,1.1065719,0.4688869,-67.984604,-115.397224,6.843243,-5.897554,80.18474,0.0013653684616088868,164.0339639186859,35000
69.98916,0.17409198,0.16831161,0.46355793,-69.00333,69.00333,1.03467,0.58551764,-69.21154,-108.298035,15.972578,-13.493858,149.76385,0.0013611411094665527,170.83967304229736,40000
72.348335,0.17056501,0.16623154,0.4579448,-71.37869,71.37869,0.6855936,-1.2925618,-71.59079,-108.001854,11.995101,-11.403794,97.89178,0.0014578929901123048,178.12914109230042,45000
76.276566,0.16236803,0.15835975,0.4226992,-75.36676,75.36676,0.68430495,-0.43989217,-75.55261,-104.858025,3.3022096,-3.7633913,49.504463,0.0014303439617156983,185.28086495399475,50000
75.601524,0.16392289,0.15998992,0.40564537,-74.70411,74.70411,0.64615947,-1.0639448,-74.893616,-107.73101,4.2072396,-2.6240723,63.45951,0.0014961209297180175,192.76147270202637,55000
78.88599,0.17570631,0.17233476,0.45933914,-77.89953,77.89953,1.1203393,-0.15402676,-78.143326,-135.62389,14.242762,-9.200637,123.09069,0.0014842410564422607,200.18268132209778,60000
81.879166,0.16278633,0.16076192,0.42836034,-80.96245,80.96245,0.61220694,-9.99961,-81.151855,-126.90224,4.364773,-8.635561,86.92816,0.0014166544437408447,207.26596236228943,65000
80.41464,0.15186241,0.146923,0.4274318,-79.531624,79.531624,0.795725,-0.6238645,-79.684006,-115.5169,10.941579,-9.626141,90.28508,0.001406655740737915,214.29924392700195,70000
80.34293,0.18699765,0.18483417,0.4537707,-79.32817,79.32817,0.40651628,-4.424899,-79.516556,-110.11777,9.610456,-6.183995,76.78765,0.001395326328277588,221.27587938308716,75000
79.51875,0.15800405,0.155682,0.41320953,-78.63153,78.63153,1.0250012,0.3458925,-78.81097,-110.49313,8.710376,-3.8385797,93.58239,0.0013881402969360352,228.21658492088318,80000
81.98384,0.15078914,0.14601187,0.4066376,-81.12483,81.12483,0.40190017,-1.0441802,-81.310646,-106.730675,7.5516915,-3.9386778,49.017097,0.001384635353088379,235.13976550102234,85000
83.0722,0.16049224,0.15723509,0.382149,-82.20857,82.20857,0.27535594,1.3691273,-82.390236,-167.48189,1.782001,-2.5731795,26.40227,0.001373469066619873,242.00711917877197,90000
80.91153,0.14394617,0.14376986,0.40337497,-80.07632,80.07632,0.34905076,-0.36064333,-80.25482,-104.816124,7.2515235,-7.440005,76.84934,0.0013777965068817138,248.89611148834229,95000
81.01274,0.15037648,0.14776574,0.3761296,-80.185486,80.185486,0.28863916,-0.6224751,-80.36821,-103.745224,4.855459,-2.0455391,50.71618,0.0013725096702575683,255.7586636543274,100000
81.31028,0.14560987,0.14228651,0.40906495,-80.464386,80.464386,0.52247864,-5.016898,-80.67879,-104.53213,5.3179297,-13.327076,93.72191,0.010515838146209718,308.33785820007324,105000
79.77636,0.15951574,0.15393049,0.37744248,-78.92037,78.92037,1.081496,-0.42624348,-79.16146,-103.45181,13.148558,-3.314438,98.706184,0.0014529436111450195,315.60258173942566,110000
82.60972,0.15439282,0.15201315,0.37118912,-81.77535,81.77535,0.43959153,0.22652915,-82.02159,-105.131676,1.6935456,-2.3383775,34.398994,0.0014534037113189697,322.8696041107178,115000
84.14794,0.15283573,0.14943156,0.4000548,-83.28938,83.28938,0.26676023,0.13951589,-83.45202,-188.03691,1.4750539,-2.7034748,29.32957,0.0014396045207977295,330.0676305294037,120000
81.81442,0.14233232,0.13883606,0.37781677,-81.009605,81.009605,0.37613556,0.59925205,-81.182526,-106.952065,3.143353,-1.4811391,37.401783,0.0014145190715789794,337.14022970199585,125000
80.37201,0.15776424,0.15464959,0.36890784,-79.52981,79.52981,0.4271794,-0.12608573,-79.77082,-186.47203,2.1336486,-5.6575594,47.219814,0.0014215034484863281,344.2477502822876,130000
82.82098,0.12686777,0.1231292,0.38475412,-82.05562,82.05562,0.45032609,-0.3724485,-82.18793,-109.3968,3.0371587,-3.8602304,42.2615,0.0014003193855285645,351.2493505477905,135000
81.589355,0.14336511,0.14034215,0.39508268,-80.764175,80.764175,0.4734953,-2.3315206,-80.99779,-104.23256,6.427658,-14.92032,86.087,0.0014160165786743163,358.32943773269653,140000
