training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
22.78914,0.58430773,0.033935726,0.35657114,-21.865477,21.865477,1.3009043,-3.3715203,-21.955397,-24.656057,0.6262004,-0.69780326,20.883938,0.08353282537460327,417.664146900177,5000
33.87086,0.54623306,0.039020985,0.33594027,-32.934418,32.934418,1.9303998,-7.0777035,-33.34925,-41.99879,1.9709783,-1.5363307,40.786465,0.01019257311820984,468.6270716190338,10000
41.07435,0.45378777,0.03680566,0.2546956,-40.252502,40.252502,2.7144275,-3.050886,-40.557846,-55.405304,3.9107285,-3.7606215,80.49232,0.009654210901260375,516.8981494903564,15000
47.16581,0.48744345,0.035981752,0.28394967,-46.31855,46.31855,1.3962908,-1.2208488,-46.751945,-65.79678,1.0491247,-1.210087,28.66481,0.009819461965560912,565.9954824447632,20000
48.221367,0.5130166,0.04872431,0.2873853,-47.221107,47.221107,2.1049,-0.4543951,-47.689964,-74.09469,1.6722105,-1.2715032,41.816505,0.0095530921459198,613.7609949111938,25000
47.234394,0.5159634,0.039792888,0.26827306,-46.320503,46.320503,2.2494109,0.6185178,-46.786774,-80.81851,2.0543485,-2.7385786,53.49667,0.008214232540130616,654.8321807384491,30000
49.43933,0.45720708,0.03863617,0.24288842,-48.595764,48.595764,2.1156287,0.53634524,-49.018158,-86.5383,3.2333739,-2.7310872,61.00766,0.009696347761154175,703.3139786720276,35000
45.601234,0.432297,0.040486883,0.22664663,-44.76407,44.76407,2.1561618,1.4041791,-45.18022,-90.7986,3.1664257,-2.2600133,68.89991,0.009950548315048218,753.066771030426,40000
49.480446,0.44846,0.04082766,0.24592382,-48.62371,48.62371,1.8600104,0.217342,-49.13697,-93.94618,4.904179,-4.236848,73.628296,0.010135747241973877,803.7455623149872,45000
48.80344,0.46330586,0.035129093,0.23391284,-47.988842,47.988842,1.6927288,-3.8867095,-48.486855,-96.79671,3.8251598,-3.9161963,71.39108,0.00985020170211792,852.996622800827,50000
50.72119,0.41905642,0.044214956,0.24390113,-49.859985,49.859985,2.4478076,0.5819586,-50.481808,-98.69869,3.9084902,-6.085743,71.56149,0.006960804462432861,887.8007125854492,55000
50.82961,0.3921047,0.038060255,0.22277603,-50.0569,50.0569,1.6311162,0.033685714,-50.45648,-100.0888,2.8458273,-2.1817412,58.68753,0.008963508653640748,932.6182913780212,60000
56.279644,0.4311743,0.034447968,0.20885327,-55.50399,55.50399,1.4018413,-0.0721756,-55.936043,-101.43482,2.402696,-2.6240573,49.49448,0.00846974892616272,974.9670670032501,65000
48.555046,0.4468412,0.038686797,0.20617697,-47.721336,47.721336,2.3270226,-0.9792724,-48.185455,-101.790855,17.507263,-10.638619,114.57788,0.00999396071434021,1024.9369311332703,70000
51.24141,0.45427972,0.036291968,0.21901795,-50.42421,50.42421,1.6335908,0.8655234,-50.91223,-102.56759,4.455062,-7.2294836,83.28904,0.009957486963272096,1074.7244155406952,75000
54.119522,0.45590597,0.03462424,0.20440999,-53.317375,53.317375,1.7096771,1.2266091,-53.788364,-102.95206,4.2746263,-6.115581,55.05635,0.009929654932022094,1124.372740983963,80000
54.138206,0.37612045,0.034261342,0.21055336,-53.41947,53.41947,2.6301773,0.5864635,-53.748123,-103.53874,4.6253967,-5.7846637,80.147224,0.007327770662307739,1161.0116038322449,85000
53.300545,0.41324937,0.037151176,0.22581026,-52.515785,52.515785,1.3663652,1.5840936,-52.924866,-103.64755,1.7726092,-1.7615402,38.86497,0.00409747896194458,1181.499024629593,90000
52.61398,0.44319242,0.04018351,0.22363135,-51.76895,51.76895,1.5228925,0.4101559,-52.209846,-104.10869,1.8088194,-2.311911,54.37455,0.009501928186416627,1229.0087187290192,95000
49.64783,0.44768,0.03845526,0.23631503,-48.815598,48.815598,1.4382639,1.2091762,-49.227028,-103.977486,2.1619864,-1.9194787,41.62992,0.005714972925186157,1257.5836205482483,100000
54.118683,0.4215992,0.03727838,0.18740377,-53.3243,53.3243,1.8671587,0.30269533,-53.725136,-104.22718,6.5256853,-4.377496,76.78272,0.007781777763366699,1296.4925389289856,105000
49.423485,0.43731424,0.033620805,0.21173254,-48.649963,48.649963,0.9680947,0.03364955,-49.04724,-103.97937,1.6059574,-1.8453251,32.655994,0.010035931205749513,1346.6722481250763,110000
51.10164,0.4020423,0.038144987,0.20787309,-50.318146,50.318146,1.5098348,-0.10702671,-50.79229,-103.5476,2.718497,-2.2538538,53.28804,0.010492196273803711,1399.1333267688751,115000
50.333927,0.44461524,0.037422463,0.20124504,-49.515087,49.515087,1.3878015,1.2307642,-49.945427,-103.76227,2.5012438,-3.0906308,42.339424,0.010131532907485962,1449.7910454273224,120000
50.44446,0.42100286,0.036777783,0.1957155,-49.65568,49.65568,1.5094528,0.6781193,-50.049065,-103.306465,1.475146,-1.5197738,43.12702,0.010358588314056396,1501.5840466022491,125000
49.765564,0.38865656,0.034666643,0.21356022,-49.030243,49.030243,1.3015542,0.6840481,-49.47181,-103.84224,3.1057055,-2.8695884,40.05332,0.01024138150215149,1552.7910149097443,130000
50.777325,0.4441593,0.034882966,0.22870646,-49.984337,49.984337,1.9207456,0.34419248,-50.35085,-102.889366,12.597479,-8.4481945,83.48922,0.010185507106781006,1603.7186086177826,135000
49.577015,0.4356764,0.0433781,0.23651311,-48.707558,48.707558,2.7551513,0.8150304,-49.389336,-103.10612,19.923494,-27.00678,169.05957,0.010119497346878052,1654.3161475658417,140000
50.637424,0.4215591,0.04434962,0.22084798,-49.77237,49.77237,2.4522014,0.29616538,-50.278896,-103.2293,2.0485249,-2.8819482,52.461952,0.010145185232162476,1705.0421106815338,145000
50.37308,0.42141014,0.037312776,0.23743361,-49.578545,49.578545,1.2289437,0.83037305,-50.13202,-103.06586,2.9102445,-2.3625102,46.80117,0.007420679187774658,1742.145559310913,150000
50.031155,0.4229906,0.03611497,0.1907372,-49.247013,49.247013,2.2850995,0.72712535,-49.66823,-103.15083,6.1819506,-6.8387227,97.356415,0.010187912893295289,1793.085156917572,155000
48.69865,0.41932356,0.039649278,0.22646305,-47.882835,47.882835,1.3804572,0.13617282,-48.322464,-103.37276,2.567211,-3.00852,45.893547,0.010240639925003053,1844.288414478302,160000
48.004284,0.43370295,0.03919726,0.2128639,-47.178608,47.178608,2.6013265,0.14628832,-47.731033,-103.2596,13.887202,-9.264333,112.31086,0.010076875734329223,1894.6728537082672,165000
47.398518,0.41634998,0.04216277,0.20740065,-46.56054,46.56054,1.3693892,0.6499716,-47.057274,-103.273994,5.7983055,-3.8032596,54.186127,0.010207416105270387,1945.7099862098694,170000
46.42585,0.4207149,0.045312807,0.19965929,-45.552006,45.552006,1.3621502,0.9700953,-45.99078,-102.811584,4.0000477,-5.844102,59.688885,0.009405437707901,1992.7372362613678,175000
48.480602,0.4336624,0.03475512,0.22369862,-47.69939,47.69939,1.2928827,-0.75247246,-48.20424,-103.38936,2.470979,-2.6258135,43.841503,0.010276134872436523,2044.1179609298706,180000
50.67844,0.38669556,0.041477963,0.22094831,-49.876965,49.876965,1.3300774,-1.2063515,-50.214928,-102.235344,3.6458185,-3.0855398,48.608063,0.010395141506195069,2096.0937221050262,185000
49.007988,0.3821172,0.039947502,0.19483322,-48.226395,48.226395,1.4419601,0.07321456,-48.68191,-103.44818,3.0739264,-2.1328933,42.51161,0.010381231355667115,2147.999941587448,190000
50.16933,0.38644156,0.03442598,0.21714361,-49.43863,49.43863,0.6595193,0.26924872,-49.794518,-102.02592,0.96293247,-1.2310437,27.228588,0.01170917534828186,2206.5458800792694,195000
47.05794,0.4391039,0.043193333,0.2581543,-46.186905,46.186905,0.9333719,0.4771378,-46.75449,-103.066765,1.9272362,-1.3186026,29.373589,0.010221057319641113,2257.651218891144,200000
49.4336,0.40330246,0.04099299,0.18377323,-48.62037,48.62037,1.0460478,0.8428327,-49.114227,-102.64021,2.9028356,-1.8522594,40.02137,0.024037997102737428,2377.8412597179413,205000
47.066635,0.42610535,0.03649952,0.22067246,-46.275536,46.275536,1.4719493,-0.0039925724,-46.791733,-101.795555,5.5313168,-10.824938,68.235245,0.004278533697128296,2399.2339975833893,210000
50.516514,0.3845785,0.03614655,0.19324386,-49.77047,49.77047,0.9213173,0.64445424,-50.272556,-102.08302,1.9878387,-2.4046884,37.31154,0.005477870893478394,2426.623389005661,215000
49.85921,0.3895185,0.042057417,0.21240032,-49.049118,49.049118,1.2845879,0.20582741,-49.482834,-102.43864,2.2747536,-3.0433729,38.878757,0.01037955174446106,2478.5212087631226,220000
51.192165,0.38141468,0.03487631,0.18729416,-50.461987,50.461987,0.9004052,1.0142361,-50.89416,-101.86764,1.5660524,-0.73608106,23.938719,0.010276373147964478,2529.903137922287,225000
50.05234,0.43511385,0.037618347,0.19665168,-49.241043,49.241043,1.1124319,0.17042825,-49.617104,-102.05407,2.227071,-2.839961,36.86583,0.010186379718780518,2580.835112810135,230000
52.842125,0.3901374,0.03354094,0.1829494,-52.116577,52.116577,0.9022616,-0.8250766,-52.468132,-102.60606,4.40257,-2.6017647,36.78517,0.010094679021835327,2631.3085725307465,235000
50.11794,0.41986752,0.032317724,0.17442611,-49.374893,49.374893,0.72205365,0.9330263,-49.754498,-101.58027,1.6068418,-2.4125767,31.661512,0.0074173181533813476,2668.395217895508,240000
51.213463,0.35843894,0.040281806,0.21558921,-50.452206,50.452206,0.8879201,-0.15407318,-50.955853,-102.905304,1.4980441,-3.4078531,37.165398,0.010171386861801147,2719.2522308826447,245000
51.552353,0.3712445,0.039637372,0.18949473,-50.784733,50.784733,0.88070905,0.51666665,-51.279556,-102.52483,1.4427224,-1.3675051,31.000269,0.010053815269470214,2769.5213685035706,250000
49.193413,0.3487255,0.03488242,0.19312811,-48.495865,48.495865,1.1173735,-0.0070284754,-49.006454,-103.03951,1.4672928,-1.2539716,33.95484,0.010452769184112549,2821.785319328308,255000
48.094036,0.41072136,0.04040412,0.21348336,-47.279274,47.279274,0.97156113,0.37558514,-47.75693,-101.64634,2.874282,-1.8334395,33.95928,0.010117334985733032,2872.3720483779907,260000
53.134487,0.39341348,0.040780798,0.21825348,-52.333267,52.333267,0.9193603,0.20370434,-52.786514,-103.006645,3.4752889,-2.3117666,36.485302,0.01041682891845703,2924.456216812134,265000
46.042164,0.38565174,0.044139482,0.18858384,-45.21512,45.21512,0.8085563,0.9750453,-45.624832,-101.56742,1.7448163,-1.5560334,29.37752,0.010101938676834106,2974.965961933136,270000
49.441032,0.41909468,0.040265057,0.21259603,-48.619286,48.619286,0.8542402,-0.0074655116,-49.085503,-101.31802,2.6109366,-1.8695107,30.82075,0.010280913925170899,3026.370571374893,275000
49.80326,0.41059852,0.044220857,0.20725457,-48.950455,48.950455,1.212095,0.35328946,-49.463104,-102.25498,2.162308,-3.9959323,45.45738,0.010216260290145874,3077.4519226551056,280000
53.153564,0.3558587,0.034969203,0.2027126,-52.448013,52.448013,0.96954846,0.89743525,-52.776592,-103.35334,2.4384453,-2.1635954,35.04226,0.010282143831253051,3128.862664937973,285000
