training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
2.086061,-0.83682585,-9.642812,0.5728258,1.0,0.8619549,0.0,-19.431387,-22.388031,0.9388729,-0.9956145,22.516851,-5.2601037,-18.666714,-21.642685,0.010598615,0.014621729135513305,73.10864925384521,5000
10.110038,-0.7886088,-9.167964,0.454114,1.0,0.7229285,0.0,-33.97471,-38.61215,2.9040787,-1.8324063,68.895035,-6.380504,-33.360996,-37.991375,0.016757146,0.0009129386901855469,77.67335224151611,10000
13.335897,-0.4916771,-8.717669,0.3415401,1.0,0.6115582,0.0,-45.471687,-51.169453,2.9790416,-4.7775345,81.83503,-1.2541368,-44.96764,-50.67563,0.011986258,0.0009458728790283203,82.40271973609924,15000
35.7593,-0.43641695,-8.521921,0.29260343,1.0,0.8931303,0.0,-52.49157,-60.764294,9.815516,-10.926684,156.95432,-1.3328395,-52.043503,-60.367992,0.015433669,0.0009247751712799072,87.02659893035889,20000
14.920206,-0.9441354,-8.495132,0.28590605,1.0,2.5243914,0.0,-57.441105,-68.23144,9.411721,-23.385084,257.8728,1.4373856,-57.0022,-67.79692,0.03073144,0.000930516242980957,91.67918276786804,25000
1.1089337,-0.67710716,-8.379305,0.2569492,1.0,0.95568955,0.0,-63.44916,-73.60459,16.922289,-9.772858,179.20033,-1.766474,-63.0701,-73.3338,0.02308577,0.0009322837829589843,96.34060788154602,30000
15.418021,-0.5609861,-8.385513,0.25850147,1.0,1.7868264,0.0,-65.60146,-77.60703,13.0847025,-8.849945,186.53409,0.4704119,-65.36182,-77.34725,0.020204429,0.0009348456859588623,101.01484036445618,35000
30.985527,-0.27217084,-8.307149,0.23891017,1.0,1.7065078,0.0,-68.172035,-81.06724,8.980581,-10.061685,128.15019,-0.47634774,-67.92212,-80.875175,0.028806834,0.0009139801502227783,105.58474445343018,40000
25.896622,-0.55860496,-8.259658,0.22703749,1.0,1.2198824,-2.2976274,-70.97862,-83.783806,16.814644,-13.8720045,277.17047,-0.692455,-70.78641,-83.61899,0.043168306,0.0009092557907104492,110.13102722167969,45000
63.888557,-0.116475716,-8.216165,0.21616414,1.0,1.0469425,0.0,-73.681305,-86.015045,8.10146,-13.411919,164.7764,-1.0715573,-73.49989,-85.905716,0.025313003,0.0008959172725677491,114.61061811447144,50000
130.24113,-0.017591588,-8.257297,0.22644708,1.0,1.4322464,0.0,-73.80365,-87.04771,13.216441,-17.402184,355.16678,-0.5867468,-73.62138,-86.91755,0.032755554,0.0009088131427764893,119.15468859672546,55000
28.28424,-0.4067607,-8.287338,0.23395763,1.0,1.7643657,0.0,-75.38162,-87.376495,8.187407,-7.5690145,145.12254,-1.3573207,-75.15663,-87.093575,0.031755846,0.0009066086292266846,123.68773555755615,60000
184.04654,0.058971122,-8.197458,0.21148755,1.0,1.0136313,-5.1745634,-78.000946,-89.70952,7.2593737,-11.71735,292.73477,-6.3313265,-77.78091,-89.5986,0.02366374,0.0009441658973693848,128.40857315063477,65000
5.518407,-0.8181011,-8.2071,0.21389812,1.0,2.3627758,0.0,-76.12976,-89.564316,33.789597,-15.415795,365.56708,0.8405572,-75.91659,-89.455795,0.05630838,0.000945744514465332,133.13729977607727,70000
92.397644,-0.14937192,-8.321514,0.24250147,1.0,1.1449432,-3.6710489,-76.13602,-90.41412,10.415464,-12.483238,225.64828,-5.157963,-75.878586,-90.23683,0.04025588,0.000977314567565918,138.02387762069702,75000
57.753357,-0.15218514,-8.15262,0.20027792,1.0,1.3029552,0.0,-75.5565,-90.40847,12.432061,-13.677915,239.22897,-2.3589768,-75.299126,-90.316124,0.036829215,0.0009133306980133056,142.5905351638794,80000
22.037804,-0.47573328,-8.135397,0.1959721,1.0,0.8356543,0.0,-77.87053,-91.007225,8.181269,-3.6612346,169.71242,-0.48109955,-77.67366,-90.9167,0.046270937,0.0008597673416137695,146.8893780708313,85000
28.601795,-0.38851407,-8.171251,0.20493583,1.0,1.9007285,0.0,-78.15029,-91.12599,10.625993,-10.008563,148.14957,-1.281753,-77.95097,-91.036095,0.041852098,0.0009464140892028809,151.62145924568176,90000
44.739773,-0.2817439,-8.181625,0.20752949,1.0,0.97242635,0.0,-75.84748,-91.1429,8.887949,-8.22922,176.67084,-3.3703475,-75.715485,-91.05713,0.055544432,0.0008413086414337159,155.82800602912903,95000
15.2733,-0.63352203,-8.179907,0.20709975,1.0,0.77095366,0.0,-76.43337,-91.31588,8.635075,-7.350787,211.07567,0.7819481,-76.17366,-91.55038,0.0391427,0.0008070579528808594,159.86329984664917,100000
61.053825,-0.29747164,-8.133233,0.19543114,1.0,1.1626911,-3.2020843,-76.72557,-91.6422,26.495699,-24.103325,249.71458,-3.9676242,-76.51854,-91.489815,0.040002972,0.01262756404876709,223.00113368034363,105000
38.52129,-0.4496654,-8.147481,0.19899325,1.0,1.3259997,0.0,-75.15611,-90.74655,11.221154,-12.993545,157.46231,0.0021485686,-74.87652,-90.61706,0.063354194,0.0007638931751251221,226.82060837745667,110000
33.28164,-0.40848807,-8.188148,0.20915975,1.0,2.9580846,0.0,-78.582535,-90.79792,15.319189,-13.572252,163.89638,-6.2670426,-78.38608,-90.70948,0.037332833,0.0007566968441009522,230.60410046577454,115000
40.168903,-0.32744205,-8.21464,0.21578301,1.0,1.342961,0.0,-78.63025,-91.21453,14.127233,-10.893928,149.45985,-1.6958553,-78.37294,-90.94451,0.03610313,0.0007531261444091797,234.3697350025177,120000
70.75665,-0.22555868,-8.14205,0.19763553,1.0,1.3518887,0.0,-77.67334,-92.611275,8.026119,-7.7829576,155.52748,0.8408821,-77.52968,-92.56346,0.07696938,0.0008391940593719483,238.56571006774902,125000
64.33481,-0.14765295,-8.231289,0.21994509,1.0,0.9559772,0.0,-75.4607,-90.48009,9.827102,-12.860284,215.73529,-0.931836,-75.18425,-90.32551,0.04414109,0.0008329494476318359,242.73046135902405,130000
109.26451,-0.12891401,-8.0514145,0.17497672,1.0,1.9010353,0.0,-77.59271,-91.59134,19.245687,-23.663795,320.3335,-4.195012,-77.371826,-91.42986,0.052706555,0.0008510124683380127,246.98552703857422,135000
111.48155,-0.0650076,-8.083864,0.1830891,1.0,1.1389107,-1.481127,-76.552536,-91.33242,16.801569,-18.524117,290.39157,-0.7884444,-76.31592,-90.99436,0.051374085,0.0008335393905639649,251.15322709083557,140000
