training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
21.825615,-0.66866684,-9.228661,0.46928805,1.0,2.1375403,0.0,-19.696934,-22.442238,1.9322925,-1.0367422,71.566925,-3.2438898,-18.877058,-21.664915,0.033221427,0.010909116935729981,54.54558777809143,5000
39.159134,-0.7021382,-8.630024,0.31962883,1.0,2.905652,-4.54418,-29.653614,-39.740974,2.920327,-2.442393,92.80222,-5.7605257,-28.972128,-39.12332,0.114304654,0.0013145391464233398,61.11829686164856,10000
44.98689,-0.76777774,-8.250578,0.22476766,1.0,3.9469218,0.0,-36.92202,-53.45224,4.7709374,-3.7867177,144.0023,-4.559738,-36.45585,-53.034866,0.11230297,0.0013081717014312745,67.65915822982788,15000
152.00159,-0.34604144,-8.246241,0.22368318,1.0,2.6764817,0.0,-43.5281,-66.0994,5.140734,-3.858057,209.0247,-0.42736802,-42.9243,-65.800964,0.14745864,0.0012937341213226318,74.12783288955688,20000
74.2995,-0.69610345,-8.226862,0.21883859,1.0,3.236125,0.0,-43.701874,-73.70097,3.1895704,-4.457788,128.65079,0.059453227,-43.26294,-73.14058,0.197074,0.001308140230178833,80.66854596138,25000
73.85109,-0.6388341,-8.087428,0.18398,1.0,2.8481388,0.0,-43.23754,-85.37213,5.032864,-5.7840734,131.7307,-0.20097408,-42.83847,-85.223045,0.18822913,0.0012994885444641113,87.16599249839783,30000
52.55964,-0.84569705,-8.062975,0.17786674,1.0,2.9849327,0.0,-46.2521,-95.09121,4.7223067,-6.416106,144.86276,-0.4926732,-45.68229,-94.997025,0.18843234,0.0013094279766082764,93.7131359577179,35000
91.16177,-0.4866246,-8.02821,0.16917536,1.0,4.370614,0.0,-42.56062,-96.99629,4.2097406,-4.958174,180.62233,-0.002418466,-42.149437,-98.94971,0.27808332,0.0013170640468597413,100.29846119880676,40000
104.75519,-0.6561041,-8.039513,0.17200121,1.0,2.845225,0.0,-46.000336,-110.56163,4.019243,-4.316187,156.32504,-1.0085093,-45.523514,-110.65652,0.17419815,0.001323066520690918,106.91380572319031,45000
71.5511,-0.67184913,-8.046244,0.17368405,1.0,4.3351374,0.0,-45.031834,-113.04473,5.0512476,-4.125366,170.55576,-3.4418428,-44.721985,-113.22286,0.17051862,0.0013030827045440673,113.42922306060791,50000
101.9205,-0.57052064,-8.0186,0.16677321,1.0,3.8156285,0.0,-46.91306,-116.42262,7.832544,-5.093334,198.34152,0.99894005,-46.5448,-117.24532,0.29622203,0.0013682925701141357,120.2706892490387,55000
70.93919,-0.8503584,-7.9712934,0.15494636,1.0,3.2575846,0.0,-46.98133,-90.66958,3.4514482,-3.8829885,122.88879,-0.44363585,-46.359642,-90.57439,0.23685786,0.0013060720443725585,126.80105376243591,60000
72.5903,-0.5995655,-7.950679,0.14979263,1.0,2.36691,0.0,-51.537827,-109.62357,2.712645,-2.2145996,125.81633,0.38961336,-51.019135,-109.4138,0.19161958,0.0013007778644561767,133.30495524406433,65000
40.61125,-0.98950577,-7.9260793,0.14364278,1.0,4.309848,0.0,-44.958965,-94.248024,10.360246,-16.942394,197.97566,-0.6937258,-44.44451,-94.18939,0.33594525,0.0012971677780151368,139.79079818725586,70000
195.51077,-0.26215518,-7.9248037,0.14332387,1.0,2.4002745,0.0,-47.750305,-95.34421,4.5512395,-4.221552,150.31595,1.2129682,-47.459343,-95.298676,0.17477444,0.0012901989936828613,146.24179673194885,75000
31.042759,-0.9775172,-7.9561706,0.15116556,1.0,3.407896,0.0,-49.452827,-95.62785,9.785924,-10.13457,186.6916,-0.37996885,-49.063667,-95.587814,0.18747449,0.0012809413909912108,152.64651560783386,80000
66.689865,-0.7633489,-7.9360275,0.1461299,1.0,3.873312,0.0,-50.60115,-96.43843,17.439362,-20.474033,261.16837,-0.3501992,-50.08783,-96.4096,0.36390018,0.0012628354549407959,158.9606957435608,85000
61.75753,-0.65843976,-7.957039,0.15138276,1.0,1.9710896,0.0,-49.966797,-96.92326,5.8199368,-4.8198347,120.27618,0.8821173,-49.45671,-96.88636,0.1425322,0.001280604648590088,165.36372232437134,90000
99.6788,-0.69584477,-7.914232,0.14068091,1.0,4.254922,0.0,-49.144897,-96.50984,31.08371,-25.333237,323.97168,0.72405046,-48.508736,-96.49675,0.8187026,0.0012724647998809814,171.72605276107788,95000
164.87903,-0.2773633,-8.015852,0.16608611,1.0,2.3336139,0.0,-47.285797,-97.52277,9.897984,-5.208989,218.71658,0.70143485,-46.96777,-97.49683,0.24197507,0.001266599941253662,178.05906319618225,100000
