training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
29.485699,-0.59838754,-9.32757,0.49401557,1.0,0.44799653,0.0,-21.768394,-23.887808,4.5333076,-6.22379,122.04054,-3.9320505,-21.036428,-23.118555,0.023788571,0.01604462823867798,80.22314524650574,5000
19.134087,-0.76378286,-8.877681,0.3815431,1.0,0.8227055,0.0,-35.709023,-40.88313,5.9218307,-4.5580106,97.28938,-2.0178473,-35.10749,-40.289635,0.022967093,0.0013598816394805907,87.02256441116333,10000
17.31789,-0.7046702,-8.5514965,0.29999718,1.0,0.8453157,0.0,-46.548138,-54.747128,13.313264,-6.721473,118.74548,-1.780457,-46.01014,-54.280872,0.038263038,0.001353252649307251,93.78883242607117,15000
26.664278,-0.53142214,-8.397825,0.26157948,1.0,1.2497041,0.0,-53.06307,-65.69666,4.904799,-7.191062,116.30907,-1.3046575,-52.617516,-65.34472,0.04783013,0.0013586923122406007,100.58229851722717,20000
148.158,-0.08551656,-8.276409,0.2312254,1.0,1.6586907,0.0,-59.26143,-73.80575,7.4519687,-6.07355,238.58295,0.3082535,-58.95216,-73.54966,0.09430789,0.0013683434963226318,107.4240243434906,25000
111.366425,-0.22099912,-8.215154,0.21591154,1.0,1.9200754,0.0,-63.858868,-78.62114,15.945378,-11.253675,296.80463,-0.7632466,-63.48108,-78.40495,0.06779005,0.0013969367027282715,114.40871214866638,30000
34.78135,-0.5531163,-8.164397,0.2032222,1.0,1.230337,0.0,-64.12766,-83.1204,14.277422,-16.262129,183.09946,-1.0636306,-63.793503,-82.93124,0.0512851,0.0013683138370513916,121.25028443336487,35000
42.60099,-0.56217563,-8.190533,0.20975623,1.0,1.4560801,0.0,-67.4805,-87.54168,30.238853,-14.022562,238.81395,0.4604359,-67.162994,-87.31758,0.07776977,0.0013730357646942139,128.11546754837036,40000
33.689377,-0.37591475,-8.165697,0.20354709,1.0,1.4487787,-4.0939775,-68.08986,-91.61914,5.4876313,-4.7364173,132.07259,-3.2199357,-67.78311,-91.53416,0.051170833,0.0013543904304504394,134.88742446899414,45000
25.293865,-0.4017701,-8.122475,0.19274166,1.0,1.5968685,0.0,-71.73074,-93.2767,27.368542,-17.231537,199.48473,-4.6400876,-71.52786,-93.22639,0.10873447,0.0013646152019500732,141.71050906181335,50000
89.95645,-0.2194827,-8.186348,0.20870979,1.0,0.7106527,-2.8038278,-71.058426,-95.74502,11.871184,-27.298492,193.58246,-2.6743727,-70.76201,-95.76074,0.07057655,0.001415083360671997,148.78593063354492,55000
24.322704,-0.6411339,-8.068876,0.17934203,1.0,1.5921279,0.0,-71.889854,-111.63769,14.064168,-13.826695,186.10481,0.08542363,-71.58266,-111.7555,0.07348952,0.0013463114261627197,155.51749110221863,60000
74.05672,-0.2614478,-8.018473,0.16674119,1.0,1.163857,0.0,-74.10049,-138.29562,5.20949,-6.5910597,122.859055,-0.46307752,-73.87031,-138.72935,0.07009023,0.001352392339706421,162.27945709228516,65000
80.629005,-0.24415353,-8.021215,0.167427,1.0,1.0976651,0.0,-74.70268,-114.14644,7.0313063,-5.528129,151.80919,-1.5339508,-74.497406,-114.17069,0.07834773,0.0013378602027893066,168.96876215934753,70000
324.88007,0.19353539,-8.05883,0.17683057,1.0,1.4896824,0.0,-75.072464,-145.70361,14.536651,-15.674337,347.904,-2.3438585,-74.87709,-146.16483,0.15733078,0.0013435974597930907,175.68675351142883,75000
31.016243,-0.44039688,-8.165783,0.20356856,1.0,1.2899394,0.0,-74.41363,-120.94371,14.467548,-14.6376915,161.41248,0.3814855,-74.101006,-119.747665,0.084480055,0.0013469340801239014,182.42142987251282,80000
