training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
23.965229,0.060835246,0.3811109,0.66532004,-23.056568,23.056568,0.30620244,-6.9359636,-23.063545,-24.291779,4.3261833,-3.2765305,54.167343,0.020503089952468873,102.51545286178589,5000
41.418415,0.055798564,0.32670805,0.5821091,-40.613113,40.613113,0.19547251,-7.581968,-40.647263,-43.768173,2.7265933,-2.5720375,39.65997,0.001401174545288086,109.52133679389954,10000
54.961147,0.05924932,0.38881758,0.5531527,-54.170998,54.170998,0.5884174,-11.666771,-54.353546,-59.164383,9.12906,-12.104621,106.81839,0.0014071778297424316,116.55723309516907,15000
62.156624,0.06367345,0.32574826,0.49128693,-61.410645,61.410645,0.40166757,-0.7539792,-61.600506,-70.90682,2.3690064,-1.9932579,34.48497,0.001365881109237671,123.38664937019348,20000
65.33209,0.07531843,0.35543537,0.48393765,-64.54688,64.54688,0.43888164,-6.7548275,-64.82434,-79.23486,2.7673166,-3.390407,50.678722,0.0013891062259674073,130.33219170570374,25000
69.45808,0.05345714,0.3467083,0.4734155,-68.770836,68.770836,0.34665942,-0.36699942,-68.897675,-85.67814,2.454815,-2.6883204,45.07313,0.0013992924213409423,137.32865691184998,30000
73.99014,0.050671384,0.32349688,0.46885982,-73.318596,73.318596,0.24737868,-2.1546319,-73.459015,-90.68729,1.6021067,-1.2721262,25.571537,0.0013762465476989745,144.20989751815796,35000
75.9402,0.05544468,0.32135218,0.45406538,-75.26436,75.26436,0.51852375,-1.168393,-75.46042,-94.374954,5.9962254,-4.8008294,62.939537,0.0013872465133666992,151.146142244339,40000
77.5493,0.058369536,0.3429644,0.45521566,-76.86061,76.86061,0.30633026,-5.3934135,-77.050735,-97.10634,1.0393744,-0.8881392,28.423069,0.001405120325088501,158.17174673080444,45000
80.10105,0.056983035,0.3046662,0.4269342,-79.44618,79.44618,0.8113767,-10.7085,-79.62962,-99.404755,6.380032,-7.4563484,75.03698,0.0014635084629058838,165.48929286003113,50000
80.0026,0.046724692,0.31129342,0.38465515,-79.431046,79.431046,0.78817517,-2.1782157,-79.58426,-101.43826,7.49824,-6.664263,72.300766,0.001396221399307251,172.47040271759033,55000
80.16326,0.059864756,0.3103562,0.4436711,-79.48013,79.48013,0.4585846,-3.1004786,-79.73268,-103.04296,3.0933685,-2.4250076,36.762764,0.0013829506874084472,179.38515949249268,60000
80.750984,0.06150581,0.32500312,0.42907888,-80.07588,80.07588,0.555997,-16.217728,-80.30878,-103.627945,2.7882836,-3.2847683,44.357933,0.0013765713691711425,186.26801943778992,65000
78.021805,0.057922572,0.3130121,0.41107932,-77.379036,77.379036,0.4435436,1.4496067,-77.6201,-104.23028,2.6676009,-4.1207857,44.913895,0.001373664665222168,193.1363468170166,70000
82.47795,0.054205336,0.30738285,0.38433787,-81.87679,81.87679,0.5475657,-0.044266462,-82.04784,-104.37609,2.9585884,-3.90241,44.25524,0.001373705291748047,200.0048806667328,75000
80.320496,0.05108157,0.2936619,0.39153126,-79.72464,79.72464,0.44270557,-3.5962372,-79.91176,-104.54051,3.907402,-6.533682,59.81774,0.0013763383865356446,206.88658142089844,80000
83.79057,0.04903415,0.2990033,0.39897576,-83.19546,83.19546,0.37690723,0.5821884,-83.37872,-104.46223,0.9189299,-1.9825457,27.724855,0.0013949733257293702,213.86145114898682,85000
81.83988,0.05222448,0.3062976,0.39121082,-81.23978,81.23978,0.49042195,-1.3688792,-81.41783,-104.2603,4.9396553,-2.7673059,50.381924,0.001400193738937378,220.86242294311523,90000
80.04569,0.049999952,0.29547128,0.35662353,-79.48907,79.48907,0.3407799,-5.5162582,-79.683334,-104.18177,1.8006995,-1.6025664,31.16418,0.0014013591289520264,227.86922240257263,95000
80.539406,0.06106886,0.28803554,0.38121232,-79.91392,79.91392,0.4743237,-3.5309076,-80.14848,-104.06899,10.791714,-7.2216396,85.53007,0.0013916352748870849,234.82740211486816,100000
80.40787,0.059207555,0.3371601,0.39863548,-79.7724,79.7724,0.5402348,-6.5718107,-80.01247,-103.693214,3.2627084,-4.1440578,56.124016,0.009262974071502686,281.14227962493896,105000
83.25168,0.04609554,0.2945371,0.4072503,-82.66005,82.66005,0.3555581,-8.53865,-82.81584,-104.176704,0.9204972,-1.197915,28.662281,0.0014412907123565674,288.34874510765076,110000
82.36628,0.055043228,0.27070785,0.36688837,-81.77922,81.77922,0.3332471,-4.8747144,-81.97172,-104.08893,2.648112,-3.2439127,38.62072,0.0014363833427429198,295.5306656360626,115000
79.37441,0.05288395,0.28738737,0.38979965,-78.77308,78.77308,0.2755534,1.4546578,-78.96385,-104.11878,1.2054806,-0.9959469,26.763887,0.0014489799976348877,302.77556920051575,120000
83.786705,0.047841817,0.28471348,0.35837337,-83.23696,83.23696,0.6276829,-6.4529333,-83.4316,-103.73702,1.73658,-4.3528914,43.396843,0.0014371117115020752,309.96113085746765,125000
78.59512,0.051634144,0.25831652,0.33888525,-78.0497,78.0497,0.4366897,0.25028533,-78.29151,-103.64485,4.4042077,-2.9244301,47.133728,0.0014360280990600586,317.14127492904663,130000
82.01409,0.0458446,0.26821423,0.3656566,-81.46506,81.46506,0.26228303,0.72412634,-81.636826,-103.492546,1.4457875,-0.9848986,22.024616,0.0014348237037658691,324.3153967857361,135000
79.660805,0.051177688,0.25306335,0.33241472,-79.12368,79.12368,0.2958104,-0.0017190874,-79.332,-103.21461,2.3888664,-2.2163455,25.992153,0.0014382937908172608,331.50686955451965,140000
81.46955,0.049861826,0.28313184,0.37036866,-80.899734,80.899734,0.35169914,-9.288403,-81.0807,-103.03,1.4331998,-1.2852466,24.907429,0.0014388173580169679,338.7009596824646,145000
80.94193,0.05498199,0.28124052,0.34831536,-80.37369,80.37369,0.43424308,-1.0937395,-80.61433,-102.632614,2.913755,-2.1296384,39.1651,0.0014405630588531493,345.9037787914276,150000
79.098045,0.055421717,0.28347033,0.35636085,-78.52,78.52,0.81090283,0.58536386,-78.773544,-102.58791,13.678849,-17.213446,95.49532,0.001438931655883789,353.0984401702881,155000
80.64646,0.051182695,0.26829922,0.35861453,-80.083115,80.083115,0.33186722,-8.355879,-80.292816,-102.71293,1.8382022,-1.1844145,26.732233,0.0014389609336853027,360.2932515144348,160000
80.9241,0.05121976,0.30075532,0.33936343,-80.37986,80.37986,0.31812656,-7.8453693,-80.55867,-102.582825,1.9933195,-1.6816428,31.593193,0.0014393010139465332,367.48976278305054,165000
83.01139,0.049024,0.26698723,0.35607406,-82.45922,82.45922,0.34467524,0.27230954,-82.645615,-102.24002,0.793822,-0.541492,21.880116,0.0014441835403442382,374.7106900215149,170000
80.18944,0.05475551,0.26224285,0.33101434,-79.639404,79.639404,0.29096755,-4.0421934,-79.862686,-102.286835,2.372103,-2.5085042,36.847878,0.0014532320022583008,381.9768531322479,175000
78.69433,0.057125084,0.2658599,0.3599799,-78.10585,78.10585,0.3378517,1.1141832,-78.38364,-102.40457,1.5423148,-2.132286,25.07501,0.0014552325248718262,389.25301909446716,180000
76.57816,0.048353523,0.31872064,0.3324082,-76.05234,76.05234,0.9434282,0.10883868,-76.282104,-102.00495,5.951169,-3.8852968,56.873474,0.0014384966373443603,396.44550585746765,185000
79.15186,0.046315465,0.24345386,0.33881035,-78.62779,78.62779,0.31490326,0.52966774,-78.79805,-101.95711,1.290594,-0.8983131,21.607246,0.0014348968029022217,403.6199929714203,190000
79.92355,0.0473364,0.26608548,0.35374972,-79.380455,79.380455,0.29666656,-0.07202183,-79.57924,-101.882744,2.607668,-2.683572,35.72709,0.0014400263786315919,410.8201286792755,195000
79.13563,0.052720025,0.26710737,0.33695027,-78.5878,78.5878,0.3140235,-2.2711987,-78.81807,-101.6564,4.8211117,-4.774039,43.36386,0.001442204999923706,418.03115725517273,200000
81.75148,0.045580752,0.27354732,0.34256497,-81.22659,81.22659,0.29869452,0.30384716,-81.40944,-101.516655,5.672579,-4.1446047,44.989323,0.007726331710815429,456.66281914711,205000
78.85708,0.050584294,0.27034706,0.32224208,-78.3325,78.3325,0.2818711,-0.6017934,-78.54334,-101.51784,1.1386366,-1.7652172,26.31062,0.0014195677280426026,463.7606701850891,210000
78.32607,0.04989715,0.24310315,0.308955,-77.81753,77.81753,0.25475448,0.021312237,-78.03619,-101.3955,1.5693963,-1.3410696,21.705994,0.0014277403831481933,470.89937567710876,215000
77.22635,0.047101837,0.26337826,0.32421902,-76.71372,76.71372,0.2975772,-6.5936275,-76.948425,-101.54782,2.1609817,-1.3194838,25.352472,0.001421660041809082,478.00767946243286,220000
79.230415,0.045738958,0.2666426,0.32721657,-78.720245,78.720245,0.32451665,-9.079642,-78.91737,-101.72047,2.0914915,-0.7212254,26.356758,0.001416096830368042,485.0881667137146,225000
81.51764,0.048548326,0.2784167,0.3235478,-80.9999,80.9999,0.21380383,0.03416045,-81.203705,-101.43303,1.0261874,-0.5605865,17.701742,0.0013768917083740234,491.97262811660767,230000
79.64638,0.043001544,0.26588628,0.31140846,-79.162964,79.162964,0.2630408,0.9219643,-79.330154,-101.45124,1.470439,-1.4225777,25.228298,0.0013819712162017822,498.88248801231384,235000
79.80736,0.056214914,0.31312937,0.35628316,-79.22621,79.22621,0.22863378,0.16850552,-79.48984,-102.003334,1.4118015,-1.7806773,25.404366,0.0013675967693328858,505.72047543525696,240000
78.67147,0.048825435,0.26242775,0.36255223,-78.11362,78.11362,0.3073331,-8.424195,-78.33609,-101.98561,3.5430706,-3.025325,36.59089,0.0013557963848114013,512.4994685649872,245000
77.7856,0.047816545,0.25221997,0.32732195,-77.26701,77.26701,0.6311079,-6.1128054,-77.53609,-101.537575,4.799852,-1.984203,43.08902,0.0013465089321136475,519.232016324997,250000
76.11044,0.0530883,0.2679877,0.32397118,-75.57412,75.57412,0.31086218,0.2929471,-75.83807,-101.11715,0.89104116,-1.7650676,22.594826,0.0013585539817810059,526.0247898101807,255000
81.03109,0.04807487,0.274249,0.34143296,-80.49736,80.49736,0.25465855,-7.9955177,-80.6875,-101.66578,1.9226246,-0.8639246,27.79449,0.001363074254989624,532.8401639461517,260000
81.06915,0.043824412,0.26289177,0.3425208,-80.55133,80.55133,0.2883423,-0.08391033,-80.71028,-101.7822,3.018053,-1.9237999,38.22912,0.0013538103580474853,539.6092200279236,265000
79.902176,0.044580832,0.28855166,0.3230113,-79.40084,79.40084,0.27503946,0.08644295,-79.60291,-102.08065,1.5625973,-2.0217268,26.07939,0.0013577729225158692,546.3980877399445,270000
75.95849,0.05599454,0.25435024,0.3554247,-75.37909,75.37909,0.3672173,-0.33949453,-75.64319,-101.34026,2.671998,-3.4569354,32.37356,0.0013652152061462402,553.2241675853729,275000
80.76086,0.05077041,0.26060745,0.30654868,-80.25123,80.25123,0.278608,-0.50627434,-80.4737,-101.26881,1.119897,-1.6266203,21.87233,0.0013649669170379638,560.0490055084229,280000
76.96763,0.052706577,0.3147394,0.31700465,-76.4398,76.4398,0.31482142,-2.6400506,-76.69858,-102.00306,1.6442945,-2.368853,24.704819,0.0013653252124786377,566.8756351470947,285000
80.410484,0.04589257,0.24523762,0.3407396,-79.88618,79.88618,0.31087947,-4.3683057,-80.104996,-101.24009,1.4353268,-1.4930853,22.89812,0.0013814608097076416,573.7829430103302,290000
79.33842,0.052831877,0.26124072,0.3075138,-78.81957,78.81957,0.35729292,-5.3920655,-79.05109,-101.90137,1.6759969,-2.9152691,33.219486,0.0013800544261932373,580.6832246780396,295000
79.68405,0.046718493,0.26070887,0.314107,-79.18307,79.18307,0.28286213,-3.4345562,-79.4147,-101.462746,3.3479965,-1.5260608,32.383183,0.0013703228950500488,587.5348424911499,300000
78.554245,0.050793935,0.24945721,0.3408484,-78.01022,78.01022,0.23234463,0.911934,-78.22644,-101.7779,1.5992113,-1.1188164,22.331139,0.006601863718032837,620.5441651344299,305000
77.4927,0.0473753,0.26392704,0.3420487,-76.96115,76.96115,0.28608912,-7.3455496,-77.177475,-100.99319,0.8909404,-0.86617327,19.427841,0.0013887370586395263,627.4878635406494,310000
79.49685,0.061796352,0.2722199,0.31946218,-78.9302,78.9302,0.3076442,-1.021807,-79.24257,-101.36034,4.2108474,-1.6352617,42.87555,0.0014149241924285888,634.5624878406525,315000
79.31901,0.0470678,0.26574463,0.3114197,-78.81932,78.81932,0.30184335,-0.07755934,-79.021484,-101.063774,0.9865719,-1.845953,28.26869,0.0014161549091339111,641.6432659626007,320000
76.79092,0.04673198,0.2648487,0.3234109,-76.28058,76.28058,0.2856838,0.14187358,-76.50618,-101.821556,0.59734154,-1.1550081,20.137512,0.0014068470478057862,648.6775047779083,325000
77.69304,0.0510333,0.289947,0.34159872,-77.14731,77.14731,0.21263354,-5.5446053,-77.34161,-101.60979,1.9138273,-2.0068882,23.525795,0.0014045621395111084,655.7003190517426,330000
78.2425,0.054879956,0.28744143,0.32447582,-77.6985,77.6985,0.22144347,-10.620102,-77.95491,-101.28979,2.7356572,-4.6294084,42.52906,0.001380851173400879,662.6045780181885,335000
80.45929,0.04911995,0.25811124,0.3153378,-79.94747,79.94747,0.27630085,-4.2385855,-80.18405,-101.98452,1.9197403,-1.0937701,25.615807,0.0013831663131713867,669.5204129219055,340000
76.42336,0.04919862,0.2726516,0.3264025,-75.90017,75.90017,0.28145212,-0.18469714,-76.13235,-101.84941,4.2259173,-4.00251,39.714546,0.0013748520851135254,676.3946771621704,345000
78.71348,0.046345104,0.2745457,0.34635586,-78.18174,78.18174,0.1821959,-0.26100698,-78.38646,-100.92052,1.0928515,-1.7705436,23.017063,0.0013968368530273437,683.3788650035858,350000
78.38477,0.045915194,0.26965517,0.3223593,-77.87875,77.87875,0.2280779,-0.18600774,-78.090576,-101.09145,1.6866782,-3.0652483,35.400257,0.001438184881210327,690.5697991847992,355000
78.16163,0.048033502,0.26605242,0.3480144,-77.62148,77.62148,0.24660754,0.594518,-77.86957,-101.13145,1.0582489,-1.5888845,24.286943,0.001437463617324829,697.757120847702,360000
81.007515,0.042040877,0.2519474,0.31417733,-80.52518,80.52518,0.19321379,-4.3777614,-80.687386,-103.77074,0.5902948,-0.5554725,15.687252,0.0014638034820556641,705.0761415958405,365000
76.13413,0.047970213,0.27377245,0.30005303,-75.6422,75.6422,0.25252396,-3.4458039,-75.85103,-101.05349,2.5300026,-1.163057,28.834587,0.0014353653907775879,712.2529726028442,370000
81.69537,0.04519535,0.2544929,0.31272963,-81.201866,81.201866,0.2119766,-5.182787,-81.37509,-101.221085,1.0453696,-1.1668296,21.371107,0.0014320065498352051,719.4130091667175,375000
76.79784,0.048852906,0.2693582,0.32222474,-76.2802,76.2802,0.48836964,0.31318325,-76.516975,-101.62643,5.7823076,-5.617069,54.71285,0.0014356502056121826,726.5912635326385,380000
79.503334,0.05669401,0.25848934,0.344405,-78.93215,78.93215,0.26508784,-5.9084964,-79.24371,-100.774704,2.6711206,-1.9168104,29.24781,0.0014356558322906495,733.7695467472076,385000
80.725876,0.060366936,0.26735765,0.32274607,-80.16166,80.16166,0.2227472,-3.536096,-80.54375,-101.003685,0.7294685,-0.7367284,19.502535,0.0014063429355621337,740.801265001297,390000
77.180626,0.054248106,0.27710533,0.3226682,-76.64097,76.64097,0.29170364,-5.547255,-76.912254,-103.40588,1.6475177,-1.3584955,26.226927,0.0013822207450866699,747.7123727798462,395000
79.38619,0.04431756,0.2857708,0.31803802,-78.890884,78.890884,0.18272904,-14.238566,-79.08081,-103.60748,1.2865348,-1.0256325,18.012077,0.001379285430908203,754.6088030338287,400000
77.50143,0.047026932,0.25178677,0.30225852,-77.01106,77.01106,0.26963878,0.14442286,-77.21835,-103.5153,1.4757696,-1.1699221,22.72296,0.007475992870330811,791.9887704849243,405000
78.32201,0.054645546,0.2940109,0.30601123,-77.79741,77.79741,0.24260497,-4.2031074,-78.025635,-103.30519,1.3380566,-1.8944607,23.049316,0.0014273667812347412,799.1256167888641,410000
78.955734,0.051724948,0.22481872,0.31180373,-78.43703,78.43703,0.2318053,-2.607455,-78.683624,-101.42133,1.793004,-1.0299349,24.074476,0.0014229034423828126,806.2401375770569,415000
78.63686,0.04250583,0.24579449,0.29269385,-78.17415,78.17415,0.1927067,-10.608465,-78.34685,-100.67764,1.2414478,-0.573444,17.400284,0.001434110641479492,813.410694360733,420000
80.229126,0.046104543,0.27182913,0.28167632,-79.76303,79.76303,0.19711217,-2.110966,-79.93381,-101.30489,0.925629,-1.4206961,18.234661,0.0014040502071380615,820.4309496879578,425000
76.61295,0.04972867,0.29349747,0.35914204,-76.05489,76.05489,0.25283843,-7.3099923,-76.32617,-100.90427,4.1384807,-3.5178497,32.538277,0.0013905973434448242,827.3839461803436,430000
79.013016,0.042614676,0.23391835,0.31379458,-78.52876,78.52876,0.23972628,0.44181985,-78.70936,-101.26611,3.3815114,-3.8101718,31.439491,0.0014013497829437256,834.3906986713409,435000
78.21098,0.048283726,0.25611812,0.3181919,-77.69965,77.69965,0.15914997,-7.9354157,-77.91226,-101.41013,2.0371034,-2.8779616,28.310028,0.0014048349857330323,841.4148774147034,440000
77.173004,0.04230323,0.27308804,0.33384654,-76.669945,76.669945,0.18966073,0.3355512,-76.84537,-101.347046,0.5679582,-0.58108264,14.233913,0.0013781184196472167,848.3054723739624,445000
74.54848,0.059265956,0.24867383,0.31153902,-73.99988,73.99988,0.22907059,-0.271147,-74.31524,-100.74686,0.69773906,-2.1688325,21.719013,0.0013589874744415283,855.1004135608673,450000
75.40759,0.05784924,0.28876764,0.2983144,-74.877884,74.877884,0.2044661,0.23685482,-75.16353,-101.46628,2.6197393,-1.6690522,27.355635,0.0013503231525421142,861.852032661438,455000
76.92069,0.055498384,0.26189822,0.31085542,-76.38784,76.38784,0.31580088,-7.5373425,-76.65039,-101.15195,3.4568613,-1.4211891,37.553284,0.0013530249118804932,868.6171615123749,460000
