training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.0037248107,-0.7894165,-9.776466,0.6062398,1.0,0.0010663985,-21.570816,-22.538479,-22.67543,0.0067217364,-0.002742244,0.20128758,-20.614231,-21.754154,-21.894375,9.324942e-05,0.01110861554145813,55.543081521987915,5000
0.02138223,-0.6087912,-9.404801,0.51332337,1.0,0.0001373848,-39.35069,-39.51402,-39.549046,0.019563284,-0.005553587,0.31611505,-38.73086,-38.903168,-38.938374,1.10218025e-05,0.001431145191192627,62.698822021484375,10000
0.08788643,-0.46765435,-9.419188,0.51691985,1.0,0.0001244702,-53.246197,-53.27655,-53.29183,0.033529464,-0.009974571,0.60320157,-52.772556,-52.80471,-52.820545,4.6374535e-06,0.0014231891632080077,69.81478071212769,15000
0.2253358,-0.366269,-8.774769,0.35581505,1.0,0.00014667626,-63.880608,-63.918568,-63.93522,0.020208746,-0.0118388245,0.3480379,-63.50109,-63.55378,-63.5693,5.625847e-06,0.0014161075592041016,76.89533066749573,20000
0.30634618,-0.34192863,-8.989735,0.4095567,1.0,0.0068265265,-72.08999,-72.14372,-72.16059,0.07523553,-0.21979216,4.2494874,-71.79173,-71.86185,-71.87894,5.3704316e-06,0.001414202356338501,83.96634721755981,25000
0.94410706,-0.21850649,-8.389317,0.25945196,1.0,3.8370323e-05,-78.7213,-78.74476,-78.75251,0.008703377,-0.012025742,0.51802266,-78.50644,-78.529976,-78.53693,3.3040392e-06,0.00141123309135437,91.02252268791199,30000
1.1463523,-0.20245975,-8.675645,0.33103418,1.0,0.0025730873,-83.85565,-83.888794,-83.8934,0.07343815,-0.19028482,4.4281693,-83.705956,-83.72621,-83.73086,0.00032096083,0.0013748453140258788,97.89675235748291,35000
4.4432335,-0.06715405,-8.680641,0.33228338,1.0,0.0084482655,-87.93222,-88.07654,-88.09026,0.35148692,-0.22405687,8.893799,-87.86597,-87.95665,-87.96998,1.0307809e-05,0.0013515506267547607,104.65451312065125,40000
3.2311027,-0.0941917,-8.259453,0.22698621,1.0,0.00029417552,-91.00451,-91.03591,-91.04182,0.04043595,-0.040101953,0.92334944,-90.91446,-90.94585,-90.951,1.19724455e-05,0.0013598106384277344,111.45357966423035,45000
3.9784555,-0.07073358,-8.064026,0.17812955,1.0,9.305652e-05,-93.58431,-93.59734,-93.60129,0.054456137,-0.065830566,1.3210529,-93.507935,-93.532776,-93.53717,8.979729e-06,0.001411137580871582,118.50928044319153,50000
5.2412796,-0.044019103,-8.095413,0.18597633,1.0,0.00027463242,-95.77377,-95.82814,-95.840546,0.04029459,-0.05140747,1.4476559,-95.718094,-95.78569,-95.798065,1.6475664e-05,0.00134429669380188,125.23076844215393,55000
6.6208286,-0.020562798,-8.052498,0.17524748,1.0,0.0012153562,-97.35624,-97.45041,-97.46005,0.09036529,-0.11068577,3.627296,-97.35661,-97.424225,-97.43385,5.3395517e-05,0.0013679755210876466,132.0706489086151,60000
6.9213066,-0.014910281,-8.027954,0.16911133,1.0,8.519081e-05,-98.16647,-98.188225,-98.19608,0.0880074,-0.08187603,2.3208468,-98.14117,-98.169556,-98.17646,5.0530293e-06,0.0013726718425750733,138.93401098251343,65000
5.6066246,-0.036433935,-8.04034,0.17220831,1.0,0.0010010742,-98.941216,-98.992874,-99.00229,0.072439745,-0.118377954,3.696167,-98.951706,-98.98268,-98.99185,6.3866223e-06,0.0013494361877441406,145.6811969280243,70000
6.084403,-0.028680474,-8.091679,0.18504275,1.0,0.0011303171,-99.432594,-99.533264,-99.53832,0.1029353,-0.118937545,3.8901198,-99.47385,-99.52869,-99.53345,3.7476432e-06,0.0013348489761352538,152.35545229911804,75000
8.90876,0.010420322,-8.004551,0.16326052,1.0,0.02105232,-99.87756,-100.04066,-100.05295,0.71125555,-0.2673437,13.36119,-99.96863,-100.04137,-100.05387,2.7098782e-05,0.0012644082546234131,158.6774981021881,80000
8.744528,0.008052081,-8.054239,0.17568275,1.0,0.00012301654,-100.377686,-100.42534,-100.43625,0.09447606,-0.07544906,2.691012,-100.364586,-100.428925,-100.44164,8.177326e-06,0.0012595674991607666,164.97533917427063,85000
7.5291896,-0.0059101284,-7.9535007,0.15049812,1.0,0.0006902906,-100.02007,-100.24792,-100.265434,0.09785032,-0.062763415,2.4764223,-100.189354,-100.25115,-100.26742,2.7706674e-05,0.0013566266059875489,171.7584764957428,90000
8.286204,0.004870653,-7.872916,0.1303519,1.0,0.0001057208,-100.49098,-100.525856,-100.54505,0.08757479,-0.07781535,1.7926972,-100.494446,-100.53148,-100.55,9.426192e-06,0.0013753474712371826,178.63522696495056,95000
7.8672,-0.0021919608,-7.9964023,0.16122353,1.0,0.00024469342,-100.518936,-100.57817,-100.59126,0.10016109,-0.13715567,2.6578615,-100.51228,-100.58345,-100.597046,1.817503e-05,0.0013540711402893067,185.40558743476868,100000
7.9808936,0.00084748864,-7.895264,0.135939,1.0,0.0012777772,-99.882866,-100.26136,-100.275856,0.10619889,-0.07449675,2.1291876,-100.20111,-100.26518,-100.27726,1.3319976e-05,0.005951341152191162,215.16230702400208,105000
