training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
23.713087,0.2054673,0.20197013,0.7267975,-22.369888,22.369888,0.42275426,0.46179217,-22.397882,-24.42697,6.532356,-7.1987324,89.38723,0.023190813064575197,115.95406818389893,5000
40.193623,0.19476297,0.19255477,0.5872206,-39.022114,39.022114,1.1136949,-0.5073543,-39.17879,-44.999344,17.897526,-13.724852,190.21506,0.0014263028144836426,123.08559608459473,10000
51.73485,0.19072968,0.190204,0.5242512,-50.638412,50.638412,0.53557163,-5.0706134,-50.81224,-61.528755,7.0685115,-7.043622,87.265976,0.0014676010131835938,130.4236147403717,15000
58.517776,0.20287465,0.19866373,0.4958689,-57.413284,57.413284,0.5965862,-1.7587223,-57.687565,-73.89623,2.0912263,-3.5347567,65.14819,0.0014472027778625488,137.65963292121887,20000
62.521553,0.21974379,0.21639456,0.50927687,-61.353046,61.353046,1.2827277,-2.0216348,-61.74088,-84.49959,5.3425517,-5.719854,97.040855,0.0014342646598815918,144.83096718788147,25000
62.18264,0.19893038,0.19277522,0.4965397,-61.08931,61.08931,1.1863031,-0.4715345,-61.469936,-92.06216,3.3510594,-3.9421988,69.30984,0.001438626480102539,152.02411437034607,30000
64.17653,0.18077981,0.17538059,0.48145828,-63.15273,63.15273,1.1229404,-1.8776404,-63.429893,-103.05823,8.708882,-7.107298,100.950386,0.001459417486190796,159.32121348381042,35000
68.773026,0.18051201,0.1774677,0.45582795,-67.775665,67.775665,0.8037913,-2.4632313,-68.02255,-100.336624,3.5242372,-2.9489155,69.00592,0.001472679853439331,166.6846160888672,40000
69.77588,0.19408096,0.19231156,0.459692,-68.73394,68.73394,0.5226091,0.4547436,-68.95709,-122.47652,8.782554,-4.066088,72.76642,0.001464972734451294,174.00949096679688,45000
72.075806,0.15844066,0.15608196,0.3887947,-71.21169,71.21169,0.43715346,-0.5881637,-71.38094,-128.73051,5.981832,-6.5160155,61.704845,0.0015007615089416503,181.51330494880676,50000
77.17993,0.15151703,0.14834324,0.41138688,-76.313995,76.313995,0.6786672,0.46398866,-76.53525,-116.75044,5.375892,-4.892689,87.76873,0.0014553194522857666,188.78990864753723,55000
73.40264,0.16168498,0.15852697,0.41743186,-72.50015,72.50015,0.44013786,-0.040060088,-72.72557,-99.08954,4.879774,-9.17333,75.59212,0.0015084080696105956,196.33196139335632,60000
78.39434,0.15521106,0.15133382,0.404254,-77.52445,77.52445,0.56958085,-0.6196659,-77.714966,-103.68403,4.3676615,-4.666473,60.868313,0.0014330801010131837,203.49737358093262,65000
79.34213,0.15483516,0.15266201,0.37874228,-78.498886,78.498886,0.5533546,-2.0040362,-78.67421,-141.47372,6.1722503,-6.4394326,70.55835,0.0013872334480285644,210.4335446357727,70000
78.1097,0.14832085,0.14430308,0.36847395,-77.296265,77.296265,0.40036756,0.3062946,-77.5396,-139.5779,2.722366,-2.6606271,35.826206,0.0014996906280517579,217.9320089817047,75000
78.80818,0.16764003,0.16428766,0.40672615,-77.89854,77.89854,0.8661008,1.0902723,-78.174644,-122.743034,7.901054,-7.3571396,74.56505,0.0014487756729125976,225.17589855194092,80000
78.60327,0.17732881,0.17646189,0.40185413,-77.66943,77.66943,0.3387057,-1.349087,-77.885864,-105.70932,3.651075,-6.1100698,49.081123,0.0015241185665130616,232.79649424552917,85000
79.378105,0.16189301,0.15964289,0.4014619,-78.49097,78.49097,0.57010746,0.6691489,-78.68484,-113.53683,7.492094,-7.9673758,67.41674,0.0014633100986480713,240.1130564212799,90000
78.24796,0.16873246,0.16377866,0.39991036,-77.34186,77.34186,0.77425146,0.741097,-77.79894,-105.16119,8.211232,-8.987902,104.26618,0.0014372710227966309,247.29941511154175,95000
79.56081,0.14971623,0.14769901,0.3594827,-78.752174,78.752174,0.6090839,-1.2797773,-78.98271,-106.052505,7.6466527,-11.926327,83.82717,0.0014150136470794678,254.37449479103088,100000
