training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
86.51028,0.49592564,0.024464661,0.24867718,-85.76971,85.76971,0.71367824,0.03499028,-86.00305,-117.68803,1.5585707,-2.3266556,32.282375,0.009773663854599,683.700056552887,95000
87.15985,0.4404329,0.027949002,0.21406037,-86.439926,86.439926,0.99677825,0.6599494,-86.52879,-112.1114,25.731735,-16.895607,179.89667,0.009843540191650391,732.9177961349487,100000
89.31516,0.52820694,0.025386844,0.2348312,-88.53309,88.53309,0.8522122,0.533957,-88.62482,-115.99331,1.502987,-3.0627823,48.054787,0.08059248089790344,1135.8802342414856,105000
85.52808,0.50477487,0.027015168,0.24695998,-84.75316,84.75316,0.78826946,0.3229285,-84.99206,-110.451096,8.524063,-2.5211253,75.29285,0.010074443817138672,1186.2525022029877,110000
83.55537,0.42023528,0.030374233,0.21842629,-82.83139,82.83139,0.4877367,-0.029115573,-83.07822,-106.607124,1.4755589,-1.6989212,31.511032,0.009821435737609864,1235.3597140312195,115000
84.84524,0.45766127,0.028402898,0.23792589,-84.103546,84.103546,0.84731996,-0.43226862,-84.20698,-125.26768,3.8512201,-7.6458282,72.491455,0.010008230686187744,1285.4009020328522,120000
84.920204,0.47681496,0.026268933,0.24775133,-84.1807,84.1807,1.1569752,-0.083167166,-84.41708,-127.15747,26.086033,-28.36378,190.26175,0.009994470071792603,1335.3732743263245,125000
82.81101,0.39724755,0.027405318,0.1979518,-82.13971,82.13971,0.6558678,0.0685126,-82.311676,-121.992676,2.3590589,-3.4482284,38.31716,0.01000098786354065,1385.378252506256,130000
85.897835,0.4335839,0.030391077,0.2177065,-85.16034,85.16034,0.46068335,-13.331341,-85.42522,-122.61742,1.6192889,-3.1063883,33.769882,0.010053129243850708,1435.643921136856,135000
87.89464,0.42980695,0.029787015,0.20518148,-87.16696,87.16696,1.0936964,0.545914,-87.287766,-126.208916,3.4515128,-1.6817031,48.05439,0.00989479522705078,1485.117933511734,140000
85.50532,0.44320172,0.027619353,0.24203928,-84.78592,84.78592,0.66644126,0.40401798,-84.91211,-126.72912,2.6023786,-1.8900731,40.110382,0.01003058590888977,1535.2708961963654,145000
85.054,0.4150517,0.028912975,0.21784133,-84.34982,84.34982,0.5482095,0.699125,-84.49561,-128.8721,2.8444269,-4.941794,48.44756,0.009891109466552734,1584.7264795303345,150000
84.29772,0.4162029,0.02777664,0.20785865,-83.60375,83.60375,0.48125786,0.38186356,-83.78198,-129.19504,1.7762231,-1.7076446,30.03331,0.009968144845962524,1634.567274093628,155000
83.89458,0.42287755,0.028275141,0.21201733,-83.18895,83.18895,0.9748178,-0.17542323,-83.3675,-112.20106,10.259271,-7.247196,94.101494,0.010055108308792114,1684.8428490161896,160000
83.11989,0.44030684,0.02770103,0.20913437,-82.40257,82.40257,0.8155697,0.2717065,-82.56031,-106.01663,4.718698,-9.919369,69.84341,0.009779443359375,1733.7401149272919,165000
82.71228,0.43816832,0.03359112,0.22049758,-81.9382,81.9382,0.9612276,0.48426896,-82.165504,-110.12945,4.7655935,-5.2892003,55.56227,0.010019792985916138,1783.8391137123108,170000
82.96213,0.38811132,0.028870782,0.20016226,-82.28531,82.28531,0.48165864,-9.70063,-82.43384,-106.07438,2.2294128,-2.2487757,28.44569,0.009796105241775512,1832.8196625709534,175000
82.98657,0.4286608,0.033070147,0.23172404,-82.22721,82.22721,0.6415302,0.35247874,-82.42288,-105.882515,6.8554225,-4.6347756,56.87132,0.009786168432235717,1881.7505404949188,180000
80.54449,0.4104122,0.0314798,0.22438076,-79.819275,79.819275,0.62862664,0.0884926,-79.98055,-107.594635,3.6363328,-2.7031026,40.988182,0.009734972143173218,1930.4254372119904,185000
85.92106,0.37533426,0.025092542,0.17827295,-85.2948,85.2948,0.45236495,0.0017756671,-85.430084,-107.90945,2.8008726,-4.64079,46.757645,0.009592851209640502,1978.389731168747,190000
81.430176,0.44359937,0.028631747,0.22332892,-80.70026,80.70026,0.42617047,0.19478542,-80.843185,-106.86863,0.8568978,-1.6259205,22.96535,0.0099127779006958,2027.953649520874,195000
84.88348,0.43648297,0.02952961,0.20793667,-84.151695,84.151695,0.5809339,-0.008157089,-84.30412,-105.02373,8.700555,-2.6970165,58.762234,0.009822391700744629,2077.0656492710114,200000
84.81375,0.390737,0.028018812,0.20944199,-84.14282,84.14282,0.8067093,0.11994895,-84.31416,-105.6792,13.259135,-19.22336,116.39537,0.06812676076889038,2417.699486017227,205000
80.72469,0.38124436,0.030037578,0.2104953,-80.043076,80.043076,0.5888369,0.18992168,-80.233765,-105.545944,1.8506113,-3.2630627,33.936855,0.009820188570022583,2466.8004586696625,210000
82.54159,0.375772,0.02789018,0.20109238,-81.88692,81.88692,0.4539141,0.41590807,-82.02891,-104.84672,1.2430499,-1.0799516,25.12589,0.010018524360656738,2516.8931155204773,215000
79.90604,0.43017563,0.03319224,0.2186356,-79.143936,79.143936,0.6951101,0.7835485,-79.36783,-102.66962,1.6013128,-1.626374,27.25398,0.009840032911300658,2566.093313932419,220000
83.659004,0.3974139,0.030600574,0.20772508,-82.95558,82.95558,0.54944026,0.8873923,-83.102615,-103.61823,3.2227874,-8.138942,64.622574,0.01002125062942505,2616.1996014118195,225000
84.683624,0.4088968,0.029688574,0.20811492,-83.977844,83.977844,0.3302063,0.23907754,-84.139175,-104.1177,1.3792021,-2.368644,33.1907,0.009935822772979736,2665.878748655319,230000
85.04641,0.42079842,0.031010807,0.20658341,-84.315506,84.315506,0.44625345,0.5576096,-84.50223,-112.82662,5.030139,-4.9063544,43.994217,0.009814049053192138,2714.949015378952,235000
83.719604,0.4373079,0.030163705,0.22411758,-82.98066,82.98066,0.4356928,0.6271666,-83.13631,-123.84054,4.5106735,-5.86145,51.93506,0.010044996261596679,2765.174033641815,240000
82.902626,0.35162956,0.033568926,0.19614296,-82.21531,82.21531,0.68572176,-0.109003365,-82.406265,-119.66056,7.4805584,-3.0872428,58.123974,0.009851528882980347,2814.431711912155,245000
81.93929,0.41055274,0.03244721,0.18009503,-81.20427,81.20427,0.6059402,0.51756763,-81.474945,-102.73771,1.7740804,-1.3679472,27.4849,0.010065995311737061,2864.7617218494415,250000
84.25707,0.3717683,0.0339913,0.21142417,-83.545395,83.545395,0.62564045,0.101836115,-83.71642,-101.66104,2.7677946,-1.5054601,39.849968,0.009980620098114014,2914.6648559570312,255000
80.96847,0.41713515,0.02787477,0.20421858,-80.27258,80.27258,0.6394774,0.026071385,-80.44536,-107.944626,3.7627258,-4.932413,51.303738,0.009984013891220092,2964.5849707126617,260000
79.37388,0.41803914,0.03090344,0.19858317,-78.646805,78.646805,1.2862871,0.09958379,-78.87535,-102.21576,10.437721,-5.755369,93.49236,0.009943177700042724,3014.3008904457092,265000
83.871704,0.42098787,0.03140598,0.23224118,-83.13666,83.13666,0.7691636,-4.4025083,-83.4638,-104.72474,5.0596843,-9.075397,59.063744,0.009902088594436646,3063.8113577365875,270000
82.145035,0.4235658,0.035409518,0.20290034,-81.36737,81.36737,0.45311403,0.089809895,-81.68364,-101.89895,2.0457752,-1.6988714,27.201397,0.009961085414886474,3113.6168174743652,275000
84.247665,0.4345249,0.026394125,0.20051688,-83.5492,83.5492,0.5302013,0.13850589,-83.7529,-103.80336,2.691251,-2.2148366,37.531628,0.009958144569396973,3163.40757727623,280000
87.31998,0.42628413,0.035103913,0.20580718,-86.542656,86.542656,0.3724709,0.033978,-86.66724,-102.56255,2.558904,-4.0857987,35.56192,0.009992063522338867,3213.367935657501,285000
83.6756,0.44847623,0.030277632,0.19415365,-82.92435,82.92435,0.36677295,0.15516691,-83.1125,-103.13115,1.8665464,-2.133065,29.135212,0.00986539282798767,3262.694931745529,290000
84.03651,0.4333124,0.03029047,0.19872552,-83.30029,83.30029,1.133014,0.63968563,-83.448105,-101.86761,15.470952,-30.163778,168.2221,0.010029949235916137,3312.844700574875,295000
83.98421,0.42140168,0.02917153,0.19888538,-83.27109,83.27109,0.56895226,0.1320856,-83.41031,-101.75977,10.658318,-19.961594,105.298065,0.009843627548217774,3362.062881231308,300000
80.08526,0.40556395,0.030791009,0.20692743,-79.37179,79.37179,0.48807195,-0.0957627,-79.562706,-102.17264,1.4118464,-3.684019,36.357445,0.057844849014282225,3651.287171602249,305000
81.96456,0.4209646,0.029959485,0.20528772,-81.244,81.244,0.5964043,-2.2020874,-81.48855,-102.134315,2.3800879,-2.4849277,35.60619,0.009771765232086182,3700.146030664444,310000
