training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.6306726,2.510157,0.0,-20.593494,-24.3948,2.8090024,-4.153678,79.609085,-2.8972836,-19.89972,-23.631084,0.08847046,0.015142290592193604,75.71145629882812,5000
0.56078804,2.2690544,-5.504398,-31.925095,-41.72326,2.6283655,-2.1208594,61.00059,-1.6756546,-31.108585,-41.14062,0.12588182,0.001421893310546875,82.82094192504883,10000
0.5331501,4.308049,0.0,-37.81308,-54.96269,3.437279,-3.3640838,89.054634,0.33938277,-37.1601,-54.466667,0.12679814,0.0014120705604553222,89.88130807876587,15000
0.5586443,3.0749738,0.0,-41.735905,-65.2605,2.7748287,-3.5344923,87.91056,0.5297486,-41.337093,-64.92179,0.16585793,0.0014394783973693847,97.07871317863464,20000
0.5035116,4.3894663,0.0,-41.107624,-74.23446,3.9518263,-2.999503,92.1438,-1.6436721,-40.640457,-74.05198,0.19327688,0.0013638690948486328,103.8980622291565,25000
0.4517491,3.1589425,0.0,-44.558987,-87.068924,2.7597027,-2.4825354,72.0946,-0.9688614,-44.065086,-86.9872,0.15220857,0.0013932244300842284,110.86418867111206,30000
0.41369206,2.216227,0.0,-48.5225,-95.0458,3.2723076,-3.7731838,96.94466,0.63704854,-48.151306,-95.189705,0.09684341,0.0013868119239807129,117.79826211929321,35000
0.46366745,3.891751,0.0,-46.06312,-105.71464,5.005565,-5.7244725,156.0165,0.58649313,-45.708496,-105.91424,0.20473818,0.001323841619491577,124.41747426986694,40000
0.46251565,3.9480462,0.0,-45.070015,-111.84393,7.963029,-4.9950814,129.35007,-1.4103647,-44.527733,-111.30371,0.25844768,0.0014088485717773437,131.46173000335693,45000
0.39550656,3.9818056,2.6116726,-48.766846,-97.18206,9.520126,-8.0041275,159.60329,3.6428015,-48.251404,-97.221634,0.35208833,0.001462830352783203,138.77588534355164,50000
0.43295795,2.8192692,0.0,-48.44298,-118.72166,1.9661105,-1.726331,61.398983,1.6781051,-47.97859,-118.57198,0.19959724,0.0014081800937652588,145.8167986869812,55000
0.43665907,2.618857,0.0,-46.296974,-112.54245,3.6426325,-2.9733493,87.062706,0.67967665,-45.921234,-112.82262,0.4671842,0.0013604668617248534,152.61913633346558,60000
0.4388617,2.8176498,0.0,-49.76668,-94.95179,4.304245,-5.1578693,97.775696,-2.4219108,-49.5561,-94.90209,0.18585393,0.001414813470840454,159.6932189464569,65000
0.43609214,2.4709506,0.0,-44.334904,-100.309,4.463076,-8.3434105,116.60935,0.07586175,-43.95034,-99.959656,0.2052823,0.0014148362636566161,166.76740431785583,70000
0.44248813,3.4668322,0.0,-49.91542,-99.00576,3.09128,-5.423522,105.57263,-1.2267857,-49.528473,-99.00793,0.30163425,0.0014184932231903077,173.8598849773407,75000
0.41264305,2.3690948,0.0,-47.79196,-95.14826,3.168185,-3.3742228,83.505974,0.043780938,-47.395966,-95.099144,0.2659244,0.001301639699935913,180.3680877685547,80000
0.47044885,1.8878069,0.0,-47.407623,-95.99657,3.0280364,-2.4262228,71.08815,-0.36440802,-47.05027,-95.976654,0.20668088,0.0013075221061706543,186.9057116508484,85000
0.42232913,3.416947,0.0,-48.233463,-97.231705,5.654552,-4.478126,94.606026,0.7104914,-47.77383,-97.203415,0.32775736,0.0013198513507843017,193.50497198104858,90000
0.46507308,3.4861665,0.0,-49.468742,-96.0714,4.41291,-5.7562666,102.19093,-0.35301486,-48.9009,-95.866234,0.22573607,0.0013545844078063965,200.27789759635925,95000
0.34187603,1.9624401,0.0,-50.29522,-97.45387,2.84888,-2.084817,60.895226,-1.1161977,-49.90846,-97.41233,0.1896973,0.0012963176250457764,206.75949835777283,100000
0.3671379,3.0642445,0.0,-50.29646,-97.67944,3.7237666,-4.8477435,92.41656,0.32465973,-49.94262,-97.65938,0.33373642,0.005372103643417358,233.6200213432312,105000
0.44845283,1.958971,0.0,-48.878372,-96.90117,2.574009,-3.24123,70.60014,1.3142544,-48.4467,-96.86445,0.3126403,0.0014108913898468018,240.6744818687439,110000
0.38434154,2.4329224,0.0,-50.099716,-97.06384,4.626805,-3.4043927,84.07599,0.13035725,-49.725487,-97.04783,0.2948963,0.0014586671829223633,247.96782088279724,115000
0.45121676,2.6806972,0.0,-51.694614,-97.36129,7.0158687,-9.907143,104.96097,0.32270053,-51.261612,-97.338394,0.28108114,0.0013526905536651612,254.73127698898315,120000
0.38497174,3.7499819,0.0,-47.17936,-97.02537,5.8656516,-10.901622,150.35635,0.5774557,-46.69124,-96.99354,0.25392443,0.0013612209796905518,261.53738594055176,125000
0.41059947,3.088028,-3.0717652,-49.749733,-98.1129,7.8777184,-4.898667,101.6701,-2.9650676,-49.365337,-98.09343,0.20050147,0.0013889925956726075,268.48235297203064,130000
0.35331282,2.1902401,0.0,-47.34372,-96.35886,2.2990203,-2.1988158,67.3121,0.6475157,-47.048023,-96.32393,0.21119285,0.0013531829357147217,275.24827122688293,135000
0.46217012,2.3634164,0.0,-55.530422,-97.39867,5.849496,-10.144686,113.06355,-0.009974495,-55.095757,-97.37084,0.38203782,0.0013403387069702147,281.9499683380127,140000
0.3819502,3.3145757,0.10273945,-51.302467,-97.06447,13.621415,-5.6449666,143.50836,0.22682448,-50.77704,-97.03472,0.30149388,0.0013472564697265626,288.68626165390015,145000
0.47514617,1.8502715,0.0,-48.947273,-96.03775,2.484339,-1.831377,43.062992,-0.08550578,-48.59969,-95.99781,0.20050198,0.0014028842449188231,295.7006869316101,150000
0.38376266,2.1775644,0.0,-49.743877,-96.577286,14.691698,-5.9355235,123.33803,0.67409897,-49.16669,-96.54262,0.25300944,0.0013813377857208253,302.6073794364929,155000
0.42378885,3.4041216,0.0,-48.861996,-96.2262,8.545866,-8.335747,149.23459,0.79308325,-48.11586,-96.16277,0.7789442,0.0013612497806549072,309.4136321544647,160000
0.44568455,1.7201898,0.0,-50.639168,-96.174126,2.9938197,-3.7906923,58.75685,-1.7146083,-50.28031,-96.09874,0.1455279,0.0014226798057556153,316.52703404426575,165000
0.40711582,2.4188719,0.0,-50.763145,-95.8565,6.761308,-9.143873,119.87405,0.8421906,-50.490833,-95.81573,0.19593406,0.0013643258571624755,323.34866666793823,170000
