training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.5831066,0.0031149564,-21.088858,-23.148418,-23.694006,0.080345295,-0.09010524,3.006415,-20.328852,-22.373438,-22.90589,0.00013808475,0.013904717111587524,69.52359676361084,5000
0.54805267,0.0023536796,-38.627068,-39.8842,-40.27295,0.15102881,-0.08615468,2.6121314,-38.022213,-39.277252,-39.670044,7.7722565e-05,0.0013685956478118896,76.36658024787903,10000
0.55099046,0.0011815716,-52.10586,-53.161896,-53.40706,0.060921144,-0.06096591,2.34855,-51.59883,-52.688652,-52.935017,6.683296e-05,0.0014073136806488037,83.40315890312195,15000
0.4975914,0.00058379176,-63.230137,-63.78253,-63.924583,0.087274015,-0.075553186,2.0188406,-62.868824,-63.41592,-63.56245,2.7841985e-05,0.0013968169212341308,90.3872480392456,20000
0.47282833,0.004331326,-71.801605,-72.09926,-72.21952,0.06991952,-0.087313995,3.4017744,-71.46805,-71.81762,-71.95046,0.00048995734,0.0013893467903137208,97.33398842811584,25000
0.42994076,0.0021586143,-78.85245,-79.02084,-79.08816,0.12408951,-0.10442898,4.164672,-78.67978,-78.807304,-78.87773,0.00014417683,0.0013657445907592773,104.16272687911987,30000
0.4877342,0.0022986108,-83.802475,-83.86685,-83.89137,0.076357916,-0.14101069,5.395054,-83.65092,-83.70423,-83.72857,0.00026968075,0.0013419843673706056,110.87266039848328,35000
0.4421696,0.0007237062,-87.94728,-87.99575,-88.066315,0.09017499,-0.1460724,3.6127608,-87.77863,-87.873764,-87.944786,4.1671476e-05,0.0013514398097991944,117.62986397743225,40000
0.4388137,0.024533132,-90.38377,-90.961365,-91.05917,0.43888566,-0.19360343,10.961503,-90.284775,-90.87063,-90.96885,5.4966786e-05,0.0013245182037353515,124.2524676322937,45000
0.43949974,0.0014580353,-92.91103,-93.164024,-93.21685,0.1281639,-0.11044632,2.7430418,-92.85635,-93.09515,-93.16533,0.00011952626,0.0013517228603363038,131.01109218597412,50000
