training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.6306726,2.510157,0.0,-20.593494,-24.3948,2.8090024,-4.153678,79.609085,-2.8972836,-19.89972,-23.631084,0.08847046,0.013909239292144776,69.54620480537415,5000
0.56078804,2.2690544,-5.504398,-31.925095,-41.72326,2.6283655,-2.1208594,61.00059,-1.6756546,-31.108585,-41.14062,0.12588182,0.0014285429477691651,76.68892860412598,10000
0.5331501,4.308049,0.0,-37.81308,-54.96269,3.437279,-3.3640838,89.054634,0.33938277,-37.1601,-54.466667,0.12679814,0.0013729423999786377,83.55365037918091,15000
0.5586443,3.0749738,0.0,-41.735905,-65.2605,2.7748287,-3.5344923,87.91056,0.5297486,-41.337093,-64.92179,0.16585793,0.0013430193901062012,90.2687509059906,20000
0.5035116,4.3894663,0.0,-41.107624,-74.23446,3.9518263,-2.999503,92.1438,-1.6436721,-40.640457,-74.05198,0.19327688,0.001369171953201294,97.11462163925171,25000
0.4517491,3.1589425,0.0,-44.558987,-87.068924,2.7597027,-2.4825354,72.0946,-0.9688614,-44.065086,-86.9872,0.15220857,0.0014054832935333252,104.1420419216156,30000
0.41369206,2.216227,0.0,-48.5225,-95.0458,3.2723076,-3.7731838,96.94466,0.63704854,-48.151306,-95.189705,0.09684341,0.00139259934425354,111.10505223274231,35000
0.46366745,3.891751,0.0,-46.06312,-105.71464,5.005565,-5.7244725,156.0165,0.58649313,-45.708496,-105.91424,0.20473818,0.001414486789703369,118.1775016784668,40000
0.46251565,3.9480462,0.0,-45.070015,-111.84393,7.963029,-4.9950814,129.35007,-1.4103647,-44.527733,-111.30371,0.25844768,0.0014600843429565429,125.47793698310852,45000
0.39550656,3.9818056,2.6116726,-48.766846,-97.18206,9.520126,-8.0041275,159.60329,3.6428015,-48.251404,-97.221634,0.35208833,0.001534806251525879,133.15197277069092,50000
0.43295795,2.8192692,0.0,-48.44298,-118.72166,1.9661105,-1.726331,61.398983,1.6781051,-47.97859,-118.57198,0.19959724,0.0013704160690307617,140.00406646728516,55000
0.43665907,2.618857,0.0,-46.296974,-112.54245,3.6426325,-2.9733493,87.062706,0.67967665,-45.921234,-112.82262,0.4671842,0.00136786470413208,146.84340238571167,60000
0.4388617,2.8176498,0.0,-49.76668,-94.95179,4.304245,-5.1578693,97.775696,-2.4219108,-49.5561,-94.90209,0.18585393,0.0013638253688812256,153.6625325679779,65000
0.43609214,2.4709506,0.0,-44.334904,-100.309,4.463076,-8.3434105,116.60935,0.07586175,-43.95034,-99.959656,0.2052823,0.0013952041625976562,160.63856673240662,70000
0.44248813,3.4668322,0.0,-49.91542,-99.00576,3.09128,-5.423522,105.57263,-1.2267857,-49.528473,-99.00793,0.30163425,0.0013835197448730469,167.55616855621338,75000
0.41264305,2.3690948,0.0,-47.79196,-95.14826,3.168185,-3.3742228,83.505974,0.043780938,-47.395966,-95.099144,0.2659244,0.0013425067901611327,174.2687063217163,80000
0.47044885,1.8878069,0.0,-47.407623,-95.99657,3.0280364,-2.4262228,71.08815,-0.36440802,-47.05027,-95.976654,0.20668088,0.001392918062210083,181.23329997062683,85000
0.42232913,3.416947,0.0,-48.233463,-97.231705,5.654552,-4.478126,94.606026,0.7104914,-47.77383,-97.203415,0.32775736,0.0013793535709381104,188.13007140159607,90000
0.46507308,3.4861665,0.0,-49.468742,-96.0714,4.41291,-5.7562666,102.19093,-0.35301486,-48.9009,-95.866234,0.22573607,0.0013501980781555176,194.8810682296753,95000
0.34187603,1.9624401,0.0,-50.29522,-97.45387,2.84888,-2.084817,60.895226,-1.1161977,-49.90846,-97.41233,0.1896973,0.0012865272998809814,201.3137185573578,100000
0.3671379,3.0642445,0.0,-50.29646,-97.67944,3.7237666,-4.8477435,92.41656,0.32465973,-49.94262,-97.65938,0.33373642,0.0054349176406860355,228.48831129074097,105000
0.44845283,1.958971,0.0,-48.878372,-96.90117,2.574009,-3.24123,70.60014,1.3142544,-48.4467,-96.86445,0.3126403,0.0013839608192443848,235.40812802314758,110000
