training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
22.214722,0.6386641,0.03984303,0.43401134,-21.456528,21.456528,0.47722134,0.241637,-21.47719,-24.5898,3.4642043,-2.7346842,39.677208,0.01924157099723816,96.20785760879517,5000
39.604824,0.5888748,0.040635444,0.35582337,-38.894043,38.894043,1.0546732,-0.43891314,-38.9289,-43.784103,16.023485,-14.531285,150.16518,0.0014178088188171387,103.29690504074097,10000
51.68437,0.50708133,0.05284761,0.3208896,-51.018745,51.018745,1.1769423,-0.17415592,-51.146927,-59.6661,17.873487,-14.455296,150.32889,0.0013940360069274902,110.26708889007568,15000
60.29732,0.5287497,0.03777898,0.31846547,-59.655235,59.655235,0.54378015,-0.03750135,-59.736893,-72.74986,8.397716,-7.201253,76.38156,0.0013963214874267579,117.24869990348816,20000
69.32424,0.5022101,0.041835807,0.27507848,-68.696526,68.696526,1.4624214,0.2598687,-68.80331,-86.83258,131.06316,-148.34811,820.74634,0.0013710466384887696,124.10393619537354,25000
70.853325,0.5303856,0.054244943,0.31438863,-70.1602,70.1602,0.9459715,-0.88431895,-70.316605,-101.22213,15.766334,-22.880701,161.32008,0.0013869239807128906,131.0385615825653,30000
73.54456,0.4788224,0.054675344,0.31134146,-72.90172,72.90172,0.4766042,0.47304913,-73.06635,-104.4924,8.748202,-7.7013016,76.20159,0.0013522183418273926,137.799658536911,35000
76.7343,0.43861127,0.04265862,0.2715544,-76.16771,76.16771,0.8651942,-0.01820267,-76.30712,-111.58826,29.199179,-21.49298,159.18997,0.0013401735305786132,144.50053095817566,40000
80.323746,0.50879306,0.041563783,0.26173574,-79.69026,79.69026,0.42638385,-0.36006337,-79.785034,-101.079414,3.2854724,-1.4463067,38.54035,0.0013586413383483886,151.29374074935913,45000
80.43518,0.49042225,0.04896003,0.2954989,-79.79788,79.79788,0.50871575,-0.18757328,-79.91979,-109.12268,8.095354,-15.636722,92.602234,0.0014130447864532472,158.35897159576416,50000
